0	0.00196147
100	0.000461547
200	0.000350217
300	0.00023267
400	0.000155964
500	0.000127527
600	7.88001e-05
700	7.75415e-05
800	5.8945e-05
900	5.45615e-05
1000	4.50563e-05
1100	3.66295e-05
1200	3.05763e-05
1300	2.4029e-05
1400	2.02203e-05
1500	1.69187e-05
1600	1.49542e-05
1700	1.32595e-05
1800	1.16939e-05
1900	1.01733e-05
2000	8.56127e-06
2100	6.99582e-06
2200	5.51638e-06
2300	4.25603e-06
2400	3.27079e-06
2500	2.60123e-06
2600	2.23345e-06
2700	2.0722e-06
2800	2.00307e-06
2900	1.94228e-06
3000	1.85377e-06
3100	1.72987e-06
3200	1.57594e-06
3300	1.40337e-06
3400	1.2227e-06
3500	1.0435e-06
3600	8.72576e-07
3700	7.15546e-07
3800	5.76245e-07
3900	4.57799e-07
4000	3.62416e-07
4100	2.91548e-07
4200	2.44735e-07
4300	2.1818e-07
4400	2.04997e-07
4500	1.97774e-07
4600	1.91269e-07
4700	1.82688e-07
4800	1.71175e-07
4900	1.56866e-07
5000	1.40485e-07
5100	1.22899e-07
5200	1.05031e-07
5300	8.76836e-08
5400	7.15641e-08
5500	5.72196e-08
5600	4.50971e-08
5700	3.5516e-08
5800	2.86564e-08
5900	2.44001e-08
6000	2.21937e-08
6100	2.11839e-08
6200	2.05887e-08
6300	1.9925e-08
6400	1.89746e-08
6500	1.76964e-08
6600	1.61336e-08
6700	1.43738e-08
6800	1.25116e-08
6900	1.06417e-08
7000	8.8445e-09
7001	8.8445e-09
