0.0000e+00 2.2315e+02 4.0960e-14 # vgs temp sigma
0.0000e+00 2.4815e+02 4.0960e-14
0.0000e+00 2.7315e+02 4.0960e-14
0.0000e+00 2.9815e+02 4.0960e-14
0.0000e+00 3.2315e+02 4.0960e-14
0.0000e+00 3.4815e+02 1.1421e-13
0.0000e+00 3.7315e+02 5.0543e-13
0.0000e+00 3.9815e+02 3.2982e-12
0.0000e+00 4.2315e+02 2.1307e-11
0.0000e+00 4.4815e+02 1.2288e-10
0.0000e+00 4.7315e+02 6.1705e-10
0.0000e+00 4.9815e+02 2.7036e-09
0.0000e+00 5.2315e+02 1.0455e-08
0.0000e+00 5.4815e+02 3.6151e-08
0.0000e+00 5.7315e+02 1.1314e-07
0.0000e+00 5.9815e+02 3.2400e-07
0.0000e+00 6.2315e+02 8.5720e-07
0.0000e+00 6.4815e+02 2.1119e-06
0.0000e+00 6.7315e+02 4.8776e-06
0.0000e+00 6.9815e+02 1.0615e-05
0.0000e+00 7.2315e+02 2.1846e-05
0.0000e+00 7.4815e+02 4.2622e-05
0.0000e+00 7.7315e+02 7.8925e-05
0.0000e+00 7.9815e+02 1.3879e-04
0.0000e+00 8.2315e+02 2.3189e-04
0.0000e+00 8.4815e+02 3.6858e-04
0.0000e+00 8.7315e+02 5.5821e-04
0.0000e+00 8.9815e+02 8.0659e-04
0.0000e+00 9.2315e+02 1.1096e-03
0.0000e+00 9.4815e+02 1.3964e-03
0.0000e+00 9.7315e+02 1.5381e-03

2.5000e-02 2.2315e+02 4.0960e-14
2.5000e-02 2.4815e+02 4.0960e-14
2.5000e-02 2.7315e+02 4.0960e-14
2.5000e-02 2.9815e+02 4.0960e-14
2.5000e-02 3.2315e+02 4.0960e-14
2.5000e-02 3.4815e+02 1.1421e-13
2.5000e-02 3.7315e+02 5.3124e-13
2.5000e-02 3.9815e+02 3.5154e-12
2.5000e-02 4.2315e+02 2.2671e-11
2.5000e-02 4.4815e+02 1.2967e-10
2.5000e-02 4.7315e+02 6.4562e-10
2.5000e-02 4.9815e+02 2.8083e-09
2.5000e-02 5.2315e+02 1.0796e-08
2.5000e-02 5.4815e+02 3.7149e-08
2.5000e-02 5.7315e+02 1.1581e-07
2.5000e-02 5.9815e+02 3.3059e-07
2.5000e-02 6.2315e+02 8.7229e-07
2.5000e-02 6.4815e+02 2.1442e-06
2.5000e-02 6.7315e+02 4.9422e-06
2.5000e-02 6.9815e+02 1.0735e-05
2.5000e-02 7.2315e+02 2.2057e-05
2.5000e-02 7.4815e+02 4.2964e-05
2.5000e-02 7.7315e+02 7.9439e-05
2.5000e-02 7.9815e+02 1.3950e-04
2.5000e-02 8.2315e+02 2.3282e-04
2.5000e-02 8.4815e+02 3.6973e-04
2.5000e-02 8.7315e+02 5.5959e-04
2.5000e-02 8.9815e+02 8.0815e-04
2.5000e-02 9.2315e+02 1.1113e-03
2.5000e-02 9.4815e+02 1.3980e-03
2.5000e-02 9.7315e+02 1.5390e-03

5.0000e-02 2.2315e+02 4.0960e-14
5.0000e-02 2.4815e+02 4.0960e-14
5.0000e-02 2.7315e+02 4.0960e-14
5.0000e-02 2.9815e+02 4.0960e-14
5.0000e-02 3.2315e+02 4.0960e-14
5.0000e-02 3.4815e+02 1.1421e-13
5.0000e-02 3.7315e+02 5.8285e-13
5.0000e-02 3.9815e+02 3.8139e-12
5.0000e-02 4.2315e+02 2.4292e-11
5.0000e-02 4.4815e+02 1.3759e-10
5.0000e-02 4.7315e+02 6.7845e-10
5.0000e-02 4.9815e+02 2.9275e-09
5.0000e-02 5.2315e+02 1.1180e-08
5.0000e-02 5.4815e+02 3.8267e-08
5.0000e-02 5.7315e+02 1.1878e-07
5.0000e-02 5.9815e+02 3.3787e-07
5.0000e-02 6.2315e+02 8.8887e-07
5.0000e-02 6.4815e+02 2.1795e-06
