#1:iter	2:compliance	3:duration	4:volume_(density)
0 	30.3347 	0.26 	0.25
1 	28.7864 	0.033 	0.235503
2 	20.8628 	0.052 	0.237542
3 	15.7094 	0.06 	0.243867
4 	13.4635 	0.06 	0.24854
5 	12.6762 	0.067 	0.249151
6 	12.042 	0.035 	0.249277
7 	11.4318 	0.31 	0.249235
8 	10.8684 	0.036 	0.249162
9 	10.2645 	0.032 	0.249174
10 	9.72559 	0.027 	0.249113
