#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
1	199894	10	0.1
2	271.39	0.795352	1
3	139.129	0.000272962	0.125
4	51.338	2.72439e-05	1
5	22.9389	1.76962e-05	0.5
6	9.21171	6.36676e-06	0.5
7	1.81603	2.1953e-06	1
8	0.561138	5.28192e-07	1
9	0.048751	1.0242e-07	1
10	0.00432323	1.00468e-08	1
11	0.000324647	1.08286e-09	1
