#1:iter	2:compliance	3:duration	4:volume	5:sub_prb_itr	6:neg_asym_min	7:neg_asym_max	8:pos_asym_min	9:pos_asym_max	10:lambda_volume
0 	90.6259 	0.103 	0.5 	0 	0 	0 	0 	0 	15
1 	62.972 	0.002 	0.454711 	5 	-0.499 	-0.499 	1.499 	1.499 	421.52
2 	40.4974 	0.002 	0.4789 	5 	-0.998 	0.0005 	1 	1.9985 	307.435
3 	31.933 	0.002 	0.491046 	6 	-1.42614 	0.0593823 	1 	2.42714 	184.098
4 	28.4714 	0.002 	0.494893 	4 	-2.03778 	0.337675 	0.672347 	3.03878 	144.446
5 	26.4915 	0.003 	0.496718 	4 	-2.91154 	0.153217 	0.718748 	3.91254 	122.922
6 	25.3232 	0.002 	0.49709 	4 	-4.15977 	0.256001 	0.735721 	5.16077 	100.348
7 	24.6127 	0.002 	0.49816 	4 	-5.94295 	0.166349 	0.738447 	6.94395 	86.2519
8 	24.203 	0.002 	0.498905 	4 	-5.94295 	0.0464567 	0.882671 	6.94395 	76.6847
