#iter	compliance	change	problems	volume	max_f_grad	active_set
0	171.747	0.5	1	0.5	67.7461
1	125.016	0.44955	2	0.471675	10.6998
2	92.4285	0.202591	3	0.487153	6.16343
3	77.4106	0.214874	4	0.491965	5.18094
4	69.8083	0.182731	5	0.495352	5.37803
5	65.1209	0.19333	6	0.496809	5.31227
6	61.9459	0.143581	7	0.497801	5.41716
7	59.2983	0.161008	8	0.497507	5.41294
8	56.5094	0.178755	9	0.497191	5.33172
9	54.0003	0.164166	10	0.49751	5.21046
10	51.7903	0.209759	11	0.497428	5.03396
11	50.0667	0.180471	12	0.49804	4.86276
12	48.8074	0.158128	13	0.498483	4.67862
13	47.6048	0.193677	14	0.498268	4.49021
14	46.525	0.192829	15	0.498366	4.41252
15	45.6269	0.166323	16	0.498598	4.35427
