#1:iter	2:compliance	3:duration	4:globalTwoScaleVolume_(allDesigns)	5:nObj
0 	55.348 	0.0585601 	0.55 	2
1 	53.3488 	0.00962646 	0.500251 	3
2 	24.1591 	0.0100797 	0.530498 	4
3 	24.2856 	0.0109357 	0.499743 	5
4 	21.3499 	0.010491 	0.500236 	6
5 	19.6641 	0.00949433 	0.499836 	7
6 	18.7499 	0.00844421 	0.499783 	8
7 	17.8348 	0.00742146 	0.499683 	9
8 	17.3603 	0.00662208 	0.499885 	10
9 	17.0443 	0.005959 	0.499923 	11
10 	16.832 	0.00799621 	0.499952 	12
