#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
1	1.57627	1	1
2	0.827075	0.206656	1
3	0.472661	0.122958	1
4	0.297714	0.0712758	1
5	0.211235	0.0446634	1
6	0.155381	0.0314504	1
7	0.116988	0.023692	1
8	0.0894795	0.0180123	1
1	1.04545	0.552654	1
2	0.501984	0.102387	1
3	0.218097	0.0873931	1
4	0.152343	0.0294485	1
5	0.124697	0.0180915	1
6	0.0867037	0.0123147	1
