#phi 	 theta 	 psi J_model:
0 		0 		0 		15.216
0.0174533 		0 		0 		15.2152
0.0349066 		0 		0 		15.2128
0.0523599 		0 		0 		15.2088
0.0698132 		0 		0 		15.2031
0.0872665 		0 		0 		15.1957
0.10472 		0 		0 		15.1865
0.122173 		0 		0 		15.1754
0.139626 		0 		0 		15.1623
0.15708 		0 		0 		15.1471
0.174533 		0 		0 		15.1296
0.191986 		0 		0 		15.1098
0.20944 		0 		0 		15.0873
0.226893 		0 		0 		15.0621
0.244346 		0 		0 		15.034
0.261799 		0 		0 		15.0029
0.279253 		0 		0 		14.9684
0.296706 		0 		0 		14.9304
0.314159 		0 		0 		14.8887
0.331613 		0 		0 		14.8431
0.349066 		0 		0 		14.7934
0.366519 		0 		0 		14.7394
0.383972 		0 		0 		14.6808
0.401426 		0 		0 		14.6175
0.418879 		0 		0 		14.5493
0.436332 		0 		0 		14.4759
0.453786 		0 		0 		14.3973
0.471239 		0 		0 		14.3132
0.488692 		0 		0 		14.2234
0.506145 		0 		0 		14.1278
0.523599 		0 		0 		14.0264
0.541052 		0 		0 		13.9189
0.558505 		0 		0 		13.8052
0.575959 		0 		0 		13.6853
0.593412 		0 		0 		13.5592
0.610865 		0 		0 		13.4267
0.628319 		0 		0 		13.2878
0.645772 		0 		0 		13.1426
0.663225 		0 		0 		12.991
0.680678 		0 		0 		12.8332
0.698132 		0 		0 		12.6692
0.715585 		0 		0 		12.499
0.733038 		0 		0 		12.3228
0.750492 		0 		0 		12.1408
0.767945 		0 		0 		11.9532
0.785398 		0 		0 		11.76
0.802851 		0 		0 		11.5617
0.820305 		0 		0 		11.3583
0.837758 		0 		0 		11.1502
0.855211 		0 		0 		10.9377
0.872665 		0 		0 		10.721
0.890118 		0 		0 		10.5007
0.907571 		0 		0 		10.277
0.925025 		0 		0 		10.0503
0.942478 		0 		0 		9.82102
0.959931 		0 		0 		9.58962
0.977384 		0 		0 		9.35654
0.994838 		0 		0 		9.12225
1.01229 		0 		0 		8.88723
1.02974 		0 		0 		8.65198
1.0472 		0 		0 		8.417
1.06465 		0 		0 		8.18282
1.0821 		0 		0 		7.94996
1.09956 		0 		0 		7.71895
1.11701 		0 		0 		7.49034
1.13446 		0 		0 		7.26467
1.15192 		0 		0 		7.04248
1.16937 		0 		0 		6.82432
1.18682 		0 		0 		6.61072
1.20428 		0 		0 		6.40222
1.22173 		0 		0 		6.19935
1.23918 		0 		0 		6.00262
1.25664 		0 		0 		5.81255
1.27409 		0 		0 		5.62962
1.29154 		0 		0 		5.45433
1.309 		0 		0 		5.28713
1.32645 		0 		0 		5.12848
1.3439 		0 		0 		4.97879
1.36136 		0 		0 		4.83847
1.37881 		0 		0 		4.70791
1.39626 		0 		0 		4.58746
1.41372 		0 		0 		4.47745
1.43117 		0 		0 		4.37818
1.44862 		0 		0 		4.28992
1.46608 		0 		0 		4.21294
1.48353 		0 		0 		4.14742
1.50098 		0 		0 		4.09357
1.51844 		0 		0 		4.05153
1.53589 		0 		0 		4.02141
1.55334 		0 		0 		4.00331
1.5708 		0 		0 		3.99727
1.58825 		0 		0 		4.00331
1.6057 		0 		0 		4.02141
1.62316 		0 		0 		4.05153
1.64061 		0 		0 		4.09357
1.65806 		0 		0 		4.14742
1.67552 		0 		0 		4.21294
1.69297 		0 		0 		4.28992
1.71042 		0 		0 		4.37818
1.72788 		0 		0 		4.47745
1.74533 		0 		0 		4.58746
1.76278 		0 		0 		4.70791
1.78024 		0 		0 		4.83847
1.79769 		0 		0 		4.97879
1.81514 		0 		0 		5.12848
1.8326 		0 		0 		5.28713
1.85005 		0 		0 		5.45433
1.8675 		0 		0 		5.62962
1.88496 		0 		0 		5.81255
1.90241 		0 		0 		6.00262
1.91986 		0 		0 		6.19935
1.93732 		0 		0 		6.40222
1.95477 		0 		0 		6.61072
1.97222 		0 		0 		6.82432
1.98968 		0 		0 		7.04248
2.00713 		0 		0 		7.26467
2.02458 		0 		0 		7.49034
2.04204 		0 		0 		7.71895
2.05949 		0 		0 		7.94996
2.07694 		0 		0 		8.18282
2.0944 		0 		0 		8.417
2.11185 		0 		0 		8.65198
2.1293 		0 		0 		8.88723
2.14675 		0 		0 		9.12225
2.16421 		0 		0 		9.35654
2.18166 		0 		0 		9.58962
2.19911 		0 		0 		9.82102
2.21657 		0 		0 		10.0503
2.23402 		0 		0 		10.277
2.25147 		0 		0 		10.5007
2.26893 		0 		0 		10.721
2.28638 		0 		0 		10.9377
2.30383 		0 		0 		11.1502
2.32129 		0 		0 		11.3583
2.33874 		0 		0 		11.5617
2.35619 		0 		0 		11.76
2.37365 		0 		0 		11.9532
2.3911 		0 		0 		12.1408
2.40855 		0 		0 		12.3228
2.42601 		0 		0 		12.499
2.44346 		0 		0 		12.6692
2.46091 		0 		0 		12.8332
2.47837 		0 		0 		12.991
2.49582 		0 		0 		13.1426
2.51327 		0 		0 		13.2878
2.53073 		0 		0 		13.4267
2.54818 		0 		0 		13.5592
2.56563 		0 		0 		13.6853
2.58309 		0 		0 		13.8052
2.60054 		0 		0 		13.9189
2.61799 		0 		0 		14.0264
2.63545 		0 		0 		14.1278
2.6529 		0 		0 		14.2234
2.67035 		0 		0 		14.3132
2.68781 		0 		0 		14.3973
2.70526 		0 		0 		14.4759
2.72271 		0 		0 		14.5493
2.74017 		0 		0 		14.6175
2.75762 		0 		0 		14.6808
2.77507 		0 		0 		14.7394
2.79253 		0 		0 		14.7934
2.80998 		0 		0 		14.8431
2.82743 		0 		0 		14.8887
2.84489 		0 		0 		14.9304
2.86234 		0 		0 		14.9684
2.87979 		0 		0 		15.0029
2.89725 		0 		0 		15.034
2.9147 		0 		0 		15.0621
2.93215 		0 		0 		15.0873
2.94961 		0 		0 		15.1098
2.96706 		0 		0 		15.1296
2.98451 		0 		0 		15.1471
3.00197 		0 		0 		15.1623
3.01942 		0 		0 		15.1754
3.03687 		0 		0 		15.1865
3.05433 		0 		0 		15.1957
3.07178 		0 		0 		15.2031
3.08923 		0 		0 		15.2088
3.10669 		0 		0 		15.2128
3.12414 		0 		0 		15.2152
3.14159 		0 		0 		15.216
