0  -nan  -nan
1.1328  828.085  986.541
1.1376  832.937  1008.85
1.1424  837.706  1031.97
1.1472  842.821  1057.28
1.152  847.999  1084.08
1.1568  853.176  1112.26
1.1616  858.67  1143.08
1.1664  864.064  1175.22
1.1712  869.923  1211.05
1.176  875.84  1230.38
1.1808  881.718  1248.3
1.1856  887.818  1267.51
1.1904  893.827  1287.39
1.1952  900.154  1308.94
1.2  906.527  1331.62
1.2048  912.89  1355.34
1.2096  919.532  1380.98
1.2144  926.072  1407.58
1.2192  933.017  1436.74
1.224  940.033  1467.64
1.2288  947.045  1500.16
1.2336  954.427  1535.72
1.2384  961.688  1572.82
1.2432  969.492  1614.16
1.248  977.033  1656.87
1.2528  985.328  1705.45
1.2576  993.771  1757.89
1.2624  1002.06  1813.05
1.2672  1011.13  1872.81
1.272  1019.85  1896.22
1.2768  1029.33  1922.52
1.2816  1038.72  1949.85
1.2864  1047.97  1978.18
1.2912  1057.68  2009.07
1.296  1067.13  2040.83
1.3008  1077.21  2075.93
1.3056  1087.37  2113.12
1.3104  1097.38  2151.81
1.3152  1107.99  2194.49
1.32  1118.29  2238.47
1.3248  1129.4  2287.83
1.3296  1140.65  2340.61
1.3344  1151.72  2395.82
1.3392  1163.6  2457.83
1.344  1175.09  2522.04
1.3488  1187.71  2595.83
1.3536  1200.56  2675.98
1.3584  1213.18  2760.64
1.3632  1226.99  2858.59
1.368  1240.27  2960.95
1.3728  1255.27  3083.44
1.3776  1270.7  3220.36
1.3824  1285.81  3367.73
1.3872  1302.93  3548
1.392  1319.21  3740.05
1.3968  1338.59  3989.3
1.4016  1359.02  4254.78
1.4064  1378.88  4335.13
1.4112  1400.66  4428.02
1.416  1421.43  4522.51
1.4208  1443.93  4630.71
1.4256  1466.73  4747.7
1.4304  1489.18  4870.99
1.4352  1513.39  5012.52
1.44  1536.79  5160.05
1.4448  1562.71  5334.52
1.4496  1589.22  5527.76
1.4544  1615.25  5734.51
1.4592  1644.13  5982.8
1.464  1671.78  6245.52
1.4688  1703.73  6576.88
1.4736  1737.01  6962.88
1.4784  1769.48  7389.81
1.4832  1807.73  7957.25
1.488  1843.66  8581.95
1.4928  1889.41  9510.21
1.4976  1940.01  10784.9
1.5024  1988.55  12372.6
1.5072  2057.22  12540.9
1.512  2117.37  12426.1
1.5168  2176.54  12313.2
1.5216  2235.3  12201.4
1.5264  2293.74  12090.7
1.5312  2351.4  11981.6
1.536  2408.84  11873.4
1.5408  2465.43  11766.9
1.5456  2521.59  11661.5
1.5504  2577.45  11557.1
1.5552  2632.57  11454.1
1.56  2687.48  11352
1.5648  2741.59  11251.5
1.5696  2795.3  11152
1.5744  2848.71  11053.4
1.5792  2901.43  10956.1
1.584  2953.96  10859.7
1.5888  2945.04  10832.5
1.5936  2936.17  10805.5
1.5984  2927.35  10778.5
1.6032  3158.75  10546.4
1.608  3209.37  10545.8
1.6128  3259.99  10545.1
1.6176  3310.6  10544.4
1.6224  3361.21  10543.7
1.6272  3411.82  10543.1
1.632  3462.43  10542.4
1.6368  3513.03  10541.7
1.6416  3563.63  10541
1.6464  3614.22  10540.4
1.6512  3664.82  10539.7
1.656  3715.41  10539
1.6608  3765.99  10538.3
1.6656  3816.57  10537.7
1.6704  3867.15  10537
1.6752  3917.73  10536.3
1.68  3968.3  10535.7
1.6848  4018.87  10535
1.6896  4069.44  10534.3
1.6944  4120  10533.6
1.6992  4170.56  10533
1.704  4221.12  10532.3
1.7088  4271.67  10531.6
1.7136  4322.22  10530.9
1.7184  4372.77  10530.3
1.7232  4423.31  10529.6
1.728  4473.85  10528.9
1.7328  4524.39  10528.3
1.7376  4574.92  10527.6
1.7424  4625.45  10526.9
1.7472  4675.98  10526.2
1.752  4726.5  10525.6
1.7568  4777.03  10524.9
1.7616  4827.54  10524.2
1.7664  4878.06  10523.5
1.7712  4928.57  10522.9
1.776  4979.08  10522.2
1.7808  5029.58  10521.5
1.7856  5080.08  10520.9
1.7904  5130.58  10520.2
1.7952  5181.08  10519.5
1.8  5231.57  10518.8
1.8048  5282.06  10518.2
1.8096  5332.55  10517.5
1.8144  5383.03  10516.8
1.8192  5433.51  10516.2
1.824  5483.98  10515.5
1.8288  5534.46  10514.8
1.8336  5584.92  10514.1
1.8384  5635.39  10513.5
1.8432  5685.85  10512.8
1.848  5736.31  10512.1
1.8528  5786.77  10511.5
1.8576  5837.22  10510.8
1.8624  5887.67  10510.1
1.8672  5938.12  10509.4
1.872  5988.56  10508.8
1.8768  6039.01  10508.1
1.8816  6089.44  10507.4
1.8864  6139.88  10506.8
1.8912  6190.31  10506.1
1.896  6240.74  10505.4
1.9008  6291.16  10504.7
1.9056  6341.58  10504.1
1.9104  6392  10503.4
1.9152  6442.41  10502.7
1.92  6492.82  10502.1
1.9248  6543.23  10501.4
1.9296  6593.64  10500.7
1.9344  6644.04  10500.1
1.9392  6694.44  10499.4
1.944  6744.83  10498.7
1.9488  6795.23  10498
1.9536  6845.62  10497.4
1.9584  6896  10496.7
1.9632  6946.38  10496
1.968  6996.76  10495.4
1.9728  7047.14  10494.7
1.9776  7097.51  10494
1.9824  7147.88  10493.3
1.9872  7198.25  10492.7
1.992  7248.61  10492
1.9968  7298.97  10491.3
2.0016  7349.33  10490.7
2.0064  7399.68  10490
2.0112  7450.03  10489.3
2.016  7500.38  10488.7
2.0208  7550.72  10488
2.0256  7601.06  10487.3
2.0304  7651.4  10486.6
2.0352  7701.74  10486
2.04  7752.07  10485.3
2.0448  7802.39  10484.6
2.0496  7852.72  10484
2.0544  7903.04  10483.3
2.0592  7953.36  10482.6
2.064  8003.67  10482
2.0688  8053.99  10481.3
2.0736  8104.29  10480.6
2.0784  8154.6  10480
2.0832  8204.9  10479.3
2.088  8255.2  10478.6
2.0928  8305.5  10477.9
2.0976  8355.79  10477.3
2.1024  8406.08  10476.6
2.1072  8456.36  10475.9
2.112  8506.65  10475.3
2.1168  8556.93  10474.6
2.1216  8607.2  10473.9
2.1264  8657.48  10473.3
2.1312  8707.75  10472.6
2.136  8758.01  10471.9
2.1408  8808.28  10471.3
2.1456  8858.54  10470.6
2.1504  8908.8  10469.9
2.1552  8959.05  10469.2
2.16  9009.3  10468.6
2.1648  9059.55  10467.9
2.1696  9109.79  10467.2
2.1744  9160.03  10466.6
2.1792  9210.27  10465.9
2.184  9260.51  10465.2
