0 0
1.5 0.00210183
3 0.00420731
4.5 0.00631644
6 0.00842923
7.5 0.0105457
9 0.0126658
10.5 0.0147895
12 0.0169169
13.5 0.019048
15 0.0211827
16.5 0.023321
18 0.025463
19.5 0.0276087
21 0.029758
22.5 0.0319109
24 0.0340675
25.5 0.0362278
27 0.0383917
28.5 0.0405592
30 0.0427304
31.5 0.0449052
33 0.0470837
34.5 0.0492658
36 0.0514516
37.5 0.053641
39 0.0558341
40.5 0.0580308
42 0.0602312
43.5 0.0624352
45 0.0646428
46.5 0.0668541
48 0.069069
49.5 0.0712876
51 0.0735098
52.5 0.0757357
54 0.0779652
55.5 0.0801983
57 0.0824351
58.5 0.0846755
60 0.0869196
61.5 0.0891673
63 0.0914187
64.5 0.0936736
66 0.0959323
67.5 0.0981945
69 0.10046
70.5 0.10273
72 0.105003
73.5 0.10728
75 0.10956
76.5 0.111844
78 0.114132
79.5 0.116424
81 0.118719
82.5 0.121017
84 0.123319
85.5 0.125625
87 0.127935
88.5 0.130248
90 0.132565
91.5 0.134885
93 0.137209
94.5 0.139537
96 0.141868
97.5 0.144203
99 0.146542
100.5 0.148884
102 0.15123
103.5 0.153579
105 0.155932
106.5 0.158289
108 0.160649
109.5 0.163013
111 0.165381
112.5 0.167752
114 0.170127
115.5 0.172506
117 0.174888
118.5 0.177274
120 0.179663
121.5 0.182056
123 0.184452
124.5 0.186853
126 0.189257
127.5 0.191664
129 0.194075
130.5 0.19649
132 0.198908
133.5 0.20133
135 0.203756
136.5 0.206185
138 0.208618
139.5 0.211054
141 0.213495
142.5 0.215938
144 0.218386
145.5 0.220837
147 0.223291
148.5 0.225749
150 0.228211
151.5 0.230674
153 0.233138
154.5 0.2356
156 0.238062
157.5 0.240524
159 0.242986
160.5 0.245447
162 0.247907
163.5 0.250367
165 0.252827
166.5 0.255287
168 0.257746
169.5 0.260204
171 0.262663
172.5 0.26512
174 0.267578
175.5 0.270035
177 0.272492
178.5 0.274948
180 0.277404
181.5 0.279859
183 0.282314
184.5 0.284769
186 0.287223
187.5 0.289677
189 0.29213
190.5 0.294583
192 0.297036
193.5 0.299488
195 0.30194
196.5 0.304392
198 0.306843
199.5 0.309293
201 0.311744
202.5 0.314194
204 0.316643
205.5 0.319092
207 0.321541
208.5 0.323989
210 0.326437
211.5 0.328885
213 0.331332
214.5 0.333778
216 0.336225
217.5 0.338671
219 0.341116
220.5 0.343561
222 0.346006
223.5 0.34845
225 0.350894
226.5 0.353338
228 0.355781
