#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters
0 	17.9886 	0.198 	0.50609 	-1 	-1
1 	18.1125 	0.009 	0.499999 	29.8738 	22
2 	18.0784 	0.007 	0.5 	30.9333 	16
3 	18.0602 	0.009 	0.500001 	29.524 	16
4 	18.0504 	0.007 	0.500001 	29.1504 	15
5 	18.0452 	0.008 	0.5 	29.4803 	16
6 	18.0414 	0.01 	0.500001 	29.1443 	14
7 	18.0386 	0.007 	0.499999 	29.0355 	15
8 	18.0364 	0.009 	0.5 	28.8308 	13
9 	18.0346 	0.008 	0.5 	28.7909 	16
10 	18.0331 	0.007 	0.5 	28.7197 	13
