#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters
0 	171.747 	0.134 	0.5 	-1 	-1
1 	110.5 	0.006 	0.500001 	663.543 	22
2 	81.3688 	0.005 	0.499999 	558.515 	16
3 	68.1108 	0.006 	0.5 	416.429 	18
4 	61.5215 	0.006 	0.500001 	336.755 	17
5 	56.4772 	0.005 	0.5 	285.812 	17
