#1:iter	2:compliance	3:duration	4:volume_(density)
0 	264.506 	5.752 	0.4
1 	97.7927 	0.49 	0.400267
2 	89.2043 	0.369 	0.400267
3 	85.4144 	0.32 	0.399934
4 	78.4913 	0.333 	0.400267
5 	71.9647 	0.32 	0.399934
6 	67.434 	0.317 	0.400267
7 	64.2623 	0.372 	0.400267
8 	62.0736 	0.335 	0.399934
9 	59.9584 	0.37 	0.400267
10 	58.507 	0.336 	0.400267
