#iter	output	change	problems	volume	max_f_grad	active_set
0	6.13267	0.5	1	0.5	3.72308
1	0.000161871	0.44955	2	0.24019	0.00197768
2	4.1662e-06	0.449548	3	0.233015	0.00110465
3	0.42904	0.26587	4	0.332862	0.969654
4	8.55524e-09	0.361888	5	0.2724	9.97798e-06
5	-0.00988414	0.126551	6	0.324614	0.0624122
6	-0.942064	0.37097	7	0.30487	0.837388
7	-2.54318	0.550386	8	0.346287	0.963689
8	-4.89885	0.344888	9	0.386944	0.606543
9	-7.30141	0.269689	10	0.426693	0.921633
10	-8.73758	0.244561	11	0.460863	1.34581
