#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
1	0.00942363	1	1
2	0.000750829	0.124876	0.861467
3	9.90758e-06	0.0026117	1
1	0.00996792	0.483619	0.935611
2	0.00114473	0.0600691	0.941465
3	2.67246e-05	0.00268965	1
1	0.0180378	0.333386	0.866345
2	0.000771128	0.0518326	0.986342
3	3.49649e-05	0.00143558	1
1	0.0321441	0.260347	0.796103
2	0.000932138	0.0462088	0.992195
3	3.61757e-05	0.00116231	1
1	0.0421995	0.215743	0.766835
2	0.000619162	0.0420167	1
3	5.18365e-05	0.00128446	1
1	0.0597928	0.185605	0.720007
2	0.000667039	0.0381966	1
3	3.86251e-05	0.00117828	1
1	0.0675221	0.161884	0.71708
2	0.000491351	0.0362302	1
3	4.3299e-05	0.00105209	1
1	0.0784275	0.142443	0.707324
2	0.000683312	0.0337862	1
3	5.66383e-05	0.000900474	1
1	0.080104	0.124881	0.709275
2	0.00050847	0.0320583	1
3	4.08634e-05	0.000910103	1
1	0.0794089	0.108534	0.728787
2	0.000569412	0.0309839	1
3	5.47517e-05	0.000884132	1
1	0.0733726	0.0927828	0.753177
2	0.000554357	0.0297316	1
3	5.19402e-05	0.000785068	1
1	0.062999	0.0772025	0.786347
2	0.000488634	0.0289343	1
3	5.38978e-05	0.000762709	1
1	0.0508047	0.0617941	0.828297
2	0.000500661	0.0274401	1
3	7.59944e-05	0.000810066	1
1	0.0342764	0.046537	0.886832
2	0.000479937	0.0256808	1
3	6.55434e-05	0.000640923	1
1	0.0168764	0.031732	0.945367
2	0.000465966	0.0225906	1
3	8.87342e-05	0.000662771	1
1	0.0044896	0.0199024	0.986342
2	0.000688901	0.0160484	1
3	0.000265744	0.00227943	1
4	0.000226584	0.00170801	1
5	0.000202467	0.00278562	1
6	0.000188364	0.00264537	1
7	0.000102577	0.00153758	1
8	5.14905e-05	0.000922174	1
1	0.00441923	0.0159585	1
2	0.00160366	0.0232738	1
3	0.00236496	0.0170922	0.998049
4	0.00172071	0.0171627	1
5	0.000703539	0.00848225	1
6	0.000185802	0.00318888	1
7	0.000112412	0.00177571	1
8	0.00010848	0.00190487	1
9	4.85391e-05	0.000816372	1
1	0.00714211	0.0467954	1
2	0.00131701	0.0329593	1
3	0.000205674	0.00648205	1
4	0.000105056	0.00460094	1
5	9.05255e-05	0.00268014	1
1	0.00904269	0.0624676	1
2	0.000670227	0.0370108	0.999024
3	7.40323e-05	0.00162062	1
