#1:iter	2:compliance	3:duration	4:globalTwoScaleVolume_(allDesigns)	5:nObj
0 	6.92204 	0.194797 	0.96 	10
1 	6.60608 	0.000540333 	0.971515 	11
2 	6.11057 	0.000104709 	1 	12
3 	6.71156 	0.000142458 	0.97 	14
4 	6.11057 	9.8e-05 	1 	15
