#1:iter	2:compliance	3:duration	4:volume_(density)
0 	264.506 	6.717 	0.4
1 	84.2289 	0.594 	0.399934
2 	72.5129 	0.428 	0.399934
3 	67.6806 	0.414 	0.399934
4 	64.2469 	0.403 	0.399934
