#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters	7:lower	8:upper
0 	18.6615 	0.74 	0.5 	0 	0 	0 	0
1 	9.68262 	0.008 	0.499999 	49.8921 	25 	49.8891 	49.8921
2 	5.80442 	0.005 	0.5 	38.7875 	17 	38.7875 	38.7882
3 	3.96467 	0.068 	0.5 	24.146 	17 	24.1455 	24.146
4 	3.35973 	0.013 	0.5 	12.403 	18 	12.4028 	12.403
5 	3.18911 	0.013 	0.500001 	4.6356 	15 	4.6356 	4.63628
