#iter	freq	globalDynamicCompliance	change	problems	volume	max_f_grad	active_set
0	200.0	2.77745	0.5	1	0.5	0.864171
1	200.0	0.719034	0.45	2	0.5	1.09084
2	200.0	0.178412	0.45	3	0.5	723.202
3	200.0	0.2331	0.517499	4	0.5	148.772
4	200.0	0.486189	0.36225	5	0.5	15.1111
5	200.0	0.795734	0.416587	6	0.5	0.660303
6	200.0	0.321666	0.479075	7	0.5	1.06087
7	200.0	0.317757	0.550936	8	0.5	0.0318494
8	200.0	0.238565	0.385655	9	0.5	0.0591603
9	200.0	0.205694	0.472221	10	0.5	62.8329
10	200.0	0.189664	0.34921	11	0.5	40.369
11	200.0	0.179754	0.292919	12	0.5	0.257104
12	200.0	0.173552	0.152121	13	0.5	0.294371
13	200.0	0.168401	0.144317	14	0.5	140.442
14	200.0	0.176995	0.542984	15	0.5	0.340746
15	200.0	0.171798	0.229798	16	0.5	25.0219
