#1:iter	2:compliance	3:problems	4:volume_(mech_trace)
0 	7.70306 	1 	30000 	18.821
1 	1.14759 	2 	134724 	2.36513
2 	0.829221 	4 	186500 	0.190193
3 	0.506451 	5 	314420 	0.391955
4 	0.499695 	8 	325395 	0.0833138
5 	0.459032 	9 	430290 	0.0761867
6 	0.458942 	12 	430989 	0.076189
7 	0.458158 	13 	460882 	0.0762023
8 	0.457186 	14 	471414 	0.0761482
9 	0.457172 	17 	471459 	0.0761483
10 	0.456765 	18 	481944 	0.0760777
11 	0.456739 	20 	484174 	0.0760857
12 	0.456707 	22 	485724 	0.0760547
13 	0.456696 	24 	487576 	0.0760584
14 	0.456692 	25 	491241 	0.0760099
