#1:iter	2:slack	3:duration	4:alpha	5:eigenfrequency_2_wv_0	6:eigenfrequency_3_wv_0	7:eigenfrequency_4_wv_0	8:eigenfrequency_5_wv_0	9:youngsModulusE1_f_0	10:youngsModulusE1_f_1	11:homTensor_p11_m22_f_0	12:homTensor_p13_f_0	13:homTensor_p23_f_0	14:homTensor_p11_m22_f_1	15:homTensor_p13_f_1	16:homTensor_p23_f_1	17:volume	18:eigenfrequency_2_wv_1	19:eigenfrequency_3_wv_1	20:eigenfrequency_4_wv_1	21:eigenfrequency_5_wv_1	22:eigenfrequency_2_wv_2	23:eigenfrequency_3_wv_2	24:eigenfrequency_4_wv_2	25:eigenfrequency_5_wv_2	26:eigenfrequency_2_wv_3	27:eigenfrequency_3_wv_3	28:eigenfrequency_4_wv_3	29:eigenfrequency_5_wv_3	30:eigenfrequency_2_wv_4	31:eigenfrequency_3_wv_4	32:eigenfrequency_4_wv_4	33:eigenfrequency_5_wv_4	34:eigenfrequency_2_wv_5	35:eigenfrequency_3_wv_5	36:eigenfrequency_4_wv_5	37:eigenfrequency_5_wv_5	38:greyness	39:access_ greyness
41 	575.56 	0 	1979.89 	3.83566e-05 	1404.06 	2552.85 	2557.86 	1.16037 	0.799989 	0.000152578 	1.56471e-07 	-8.76523e-06 	0.000131777 	-1.60688e-06 	-9.34157e-06 	0.5 	733.023 	1211.61 	2563.72 	2801.45 	995.258 	1166.03 	2657.3 	2851.76 	923.146 	1274.69 	2663.91 	2730.1 	1328.13 	1334.69 	2555.46 	2725.62 	840.722 	1111.52 	2615.18 	2806.77 	0.110683 	0.273369
42 	578.806 	0 	1986.33 	5.17541e-05 	1406.74 	2560.4 	2567.78 	1.17465 	0.799996 	-3.98991e-05 	-2.26993e-05 	-3.19988e-05 	-5.39275e-05 	-1.72223e-05 	-2.42104e-05 	0.5 	735.457 	1213.99 	2579.3 	2804.95 	1001.76 	1166.15 	2673.12 	2865.86 	924.393 	1277.17 	2677.67 	2742.84 	1331.81 	1336.97 	2565.41 	2737.15 	843.15 	1111.87 	2625.89 	2827.05 	0.107626 	0.273396
43 	582.863 	0 	1993.65 	5.9167e-05 	1409.42 	2571.12 	2576.47 	1.19726 	0.800085 	0.000191378 	-6.03342e-05 	-5.96724e-05 	2.34632e-05 	-3.09835e-05 	-1.88737e-05 	0.5 	739.409 	1216.28 	2590.35 	2815.48 	1007.12 	1169.53 	2683.4 	2882.03 	927.116 	1281.87 	2693.48 	2754.92 	1338.81 	1341.11 	2576.82 	2750.01 	847.234 	1111.72 	2641.62 	2851.46 	0.100659 	0.271223
44 	582.983 	0 	1992.72 	8.78631e-05 	1409.59 	2573.19 	2577.78 	1.19848 	0.799963 	5.69407e-05 	3.26397e-06 	5.88423e-06 	-1.53552e-05 	1.8047e-06 	2.33479e-06 	0.5 	739.535 	1216.33 	2588.68 	2820.43 	1007.41 	1169.18 	2681.3 	2882.06 	927.518 	1281.82 	2693.8 	2753.67 	1339.09 	1341.27 	2575.66 	2751.61 	847.473 	1112 	2642.84 	2851 	0.0994332 	0.270855
45 	583.164 	0 	1993.18 	-1.44703e-07 	1409.97 	2575.78 	2576.53 	1.19949 	0.799978 	-6.27639e-05 	1.33642e-06 	3.14222e-06 	-1.87049e-05 	6.39553e-07 	3.2252e-07 	0.5 	739.433 	1216.91 	2591.01 	2819.4 	1008.04 	1169.33 	2684.16 	2881.88 	927.693 	1282.03 	2694.47 	2754.34 	1338.69 	1341.59 	2576.34 	2751.84 	847.381 	1113.11 	2642.09 	2849 	0.0984098 	0.270465
46 	583.261 	0 	1993.65 	3.19127e-05 	1410.37 	2576.79 	2576.91 	1.20119 	0.799992 	-1.03723e-05 	-8.68212e-07 	-7.8813e-07 	-8.85345e-06 	2.18269e-07 	-1.04654e-07 	0.5 	739.556 	1217.34 	2591.49 	2820.51 	1008.35 	1169.69 	2684.62 	2882.54 	928.09 	1282.38 	2694.89 	2754.98 	1338.61 	1342.13 	2576.94 	2752.72 	847.487 	1114.09 	2642.4 	2847.07 	0.0973624 	0.269973
47 	583.47 	0 	1994.42 	8.30219e-05 	1410.91 	2577.64 	2577.89 	1.20343 	0.799998 	1.17715e-05 	-1.98628e-06 	-4.55566e-06 	-6.81992e-06 	-9.78233e-08 	-8.21984e-07 	0.5 	739.826 	1217.81 	2592.52 	2821.74 	1008.75 	1170.2 	2685.36 	2883.87 	928.651 	1282.88 	2695.77 	2756.43 	1338.59 	1342.91 	2577.99 	2754.62 	847.716 	1115.28 	2643.54 	2844.85 	0.096278 	0.269368
48 	583.499 	1 	1994.54 	5.93266e-05 	1411.04 	2577.87 	2578.17 	1.20317 	0.799996 	-6.14238e-06 	3.65091e-07 	3.27981e-07 	-1.83633e-06 	4.13753e-08 	3.4432e-08 	0.5 	739.838 	1217.89 	2592.91 	2821.89 	1009 	1169.99 	2685.57 	2884.22 	928.607 	1282.81 	2695.96 	2756.92 	1338.56 	1342.79 	2578.04 	2755.34 	847.724 	1115.29 	2644.19 	2844.77 	0.0963894 	0.269554
49 	583.492 	0 	1994.51 	4.54892e-05 	1411.01 	2577.85 	2578.08 	1.20324 	0.799997 	-4.5082e-07 	-2.98926e-07 	-9.69425e-07 	-2.74964e-06 	-1.63928e-09 	-1.88654e-07 	0.5 	739.836 	1217.87 	2592.82 	2821.85 	1008.94 	1170.04 	2685.52 	2884.13 	928.619 	1282.83 	2695.92 	2756.8 	1338.57 	1342.83 	2578.03 	2755.16 	847.723 	1115.29 	2644.03 	2844.79 	0.0963623 	0.269509
50 	583.502 	0 	1994.78 	-1.67671e-08 	1411.27 	2578.18 	2578.32 	1.20297 	0.799991 	-3.10706e-05 	-9.24268e-08 	2.13522e-08 	-9.38292e-06 	-2.27358e-08 	4.96164e-09 	0.5 	739.812 	1218.06 	2593.2 	2822.14 	1009.27 	1169.79 	2685.7 	2884.59 	928.586 	1282.73 	2696.01 	2757.51 	1338.4 	1342.7 	2578.29 	2755.98 	847.678 	1115.5 	2644.47 	2844.49 	0.0963895 	0.269611
51 	583.498 	0 	1994.68 	-3.53237e-08 	1411.17 	2578.09 	2578.21 	1.20307 	0.799995 	-1.22859e-05 	-1.4843e-07 	-3.56138e-07 	-4.6918e-06 	-9.46545e-09 	-6.89e-08 	0.5 	739.824 	1217.99 	2593.06 	2822.04 	1009.15 	1169.89 	2685.64 	2884.42 	928.599 	1282.77 	2695.98 	2757.24 	1338.47 	1342.75 	2578.19 	2755.68 	847.697 	1115.42 	2644.31 	2844.6 	0.0963814 	0.269575
52 	583.519 	0 	1995.12 	7.11847e-05 	1411.59 	2578.55 	2578.66 	1.20274 	0.799993 	-3.09818e-05 	6.66462e-08 	-7.35151e-08 	-5.82197e-06 	4.1281e-09 	-4.98596e-08 	0.5 	739.815 	1218.29 	2593.65 	2822.47 	1009.66 	1169.56 	2685.96 	2885.16 	928.528 	1282.66 	2696.28 	2758.2 	1338.36 	1342.53 	2578.64 	2756.71 	847.669 	1115.6 	2645.11 	2844.69 	0.0964866 	0.269803
53 	583.501 	0 	1995.11 	-4.01068e-08 	1411.61 	2578.61 	2578.61 	1.20278 	0.8 	1.35815e-07 	1.41233e-08 	1.34331e-08 	7.41752e-09 	1.57369e-09 	1.65229e-09 	0.5 	739.817 	1218.31 	2593.65 	2822.49 	1009.65 	1169.59 	2685.98 	2885.07 	928.534 	1282.68 	2696.27 	2758.12 	1338.36 	1342.54 	2578.61 	2756.65 	847.669 	1115.63 	2645.03 	2844.67 	0.096469 	0.269779
54 	583.504 	0 	1995.11 	3.54445e-05 	1411.61 	2578.6 	2578.62 	1.20277 	0.799999 	-5.05623e-06 	2.08975e-08 	-2.88305e-09 	-9.6273e-07 	1.78021e-09 	-7.14042e-09 	0.5 	739.817 	1218.3 	2593.65 	2822.48 	1009.65 	1169.58 	2685.98 	2885.09 	928.533 	1282.68 	2696.27 	2758.13 	1338.36 	1342.54 	2578.62 	2756.66 	847.669 	1115.63 	2645.05 	2844.67 	0.096472 	0.269783
55 	583.501 	0 	1995.11 	-3.57453e-08 	1411.61 	2578.61 	2578.61 	1.20278 	0.8 	-7.03388e-07 	1.51647e-08 	1.07472e-08 	-1.49323e-07 	1.60116e-09 	2.2578e-10 	0.5 	739.817 	1218.31 	2593.65 	2822.49 	1009.65 	1169.59 	2685.98 	2885.07 	928.534 	1282.68 	2696.27 	2758.12 	1338.36 	1342.54 	2578.61 	2756.65 	847.669 	1115.63 	2645.04 	2844.67 	0.0964695 	0.26978
56 	583.501 	0 	1995.11 	-1.59106e-07 	1411.61 	2578.61 	2578.61 	1.20278 	0.8 	-3.2587e-08 	1.43306e-08 	1.28926e-08 	-2.40333e-08 	1.57902e-09 	1.36587e-09 	0.5 	739.817 	1218.31 	2593.65 	2822.49 	1009.65 	1169.59 	2685.98 	2885.07 	928.534 	1282.68 	2696.27 	2758.12 	1338.36 	1342.54 	2578.61 	2756.65 	847.669 	1115.63 	2645.03 	2844.67 	0.0964691 	0.269779
57 	583.501 	1 	1995.11 	7.71306e-05 	1411.61 	2578.61 	2578.61 	1.20278 	0.8 	-1.87036e-08 	1.43135e-08 	1.29372e-08 	-2.14405e-08 	1.57858e-09 	1.38948e-09 	0.5 	739.817 	1218.31 	2593.65 	2822.49 	1009.65 	1169.59 	2685.98 	2885.07 	928.534 	1282.68 	2696.27 	2758.12 	1338.36 	1342.54 	2578.61 	2756.65 	847.669 	1115.63 	2645.03 	2844.67 	0.0964691 	0.269779
