#1:iter	2:slack	3:duration	4:alpha	5:eigenfrequency_2_wv_0	6:eigenfrequency_3_wv_0	7:eigenfrequency_4_wv_0	8:eigenfrequency_5_wv_0	9:youngsModulusE1_f_0	10:youngsModulusE1_f_1	11:homTensor_p11_m22_f_0	12:homTensor_p13_f_0	13:homTensor_p23_f_0	14:homTensor_p11_m22_f_1	15:homTensor_p13_f_1	16:homTensor_p23_f_1	17:volume	18:eigenfrequency_2_wv_1	19:eigenfrequency_3_wv_1	20:eigenfrequency_4_wv_1	21:eigenfrequency_5_wv_1	22:eigenfrequency_2_wv_2	23:eigenfrequency_3_wv_2	24:eigenfrequency_4_wv_2	25:eigenfrequency_5_wv_2	26:eigenfrequency_2_wv_3	27:eigenfrequency_3_wv_3	28:eigenfrequency_4_wv_3	29:eigenfrequency_5_wv_3	30:eigenfrequency_2_wv_4	31:eigenfrequency_3_wv_4	32:eigenfrequency_4_wv_4	33:eigenfrequency_5_wv_4	34:eigenfrequency_2_wv_5	35:eigenfrequency_3_wv_5	36:eigenfrequency_4_wv_5	37:eigenfrequency_5_wv_5	38:greyness	39:access_ greyness
11 	15.3051 	0 	1468.77 	5.49973e-05 	1306.23 	1406.71 	1575.03 	0.956992 	0.794605 	0.0384422 	0.0047667 	-0.00618131 	0.00330992 	0.000955508 	0.000755125 	0.5 	692.586 	1064.2 	1528.63 	1826.28 	802.773 	1038.24 	1912.64 	2035.53 	933.179 	1197.35 	1708.48 	2242.83 	1297.68 	1412.2 	1650.73 	2290.59 	806.892 	1088.67 	1505.21 	1953.29 	0.162873 	0.319194
12 	9.91376 	0 	1436.06 	4.60349e-05 	1288.96 	1439.96 	1522.83 	0.941951 	0.817396 	0.0902934 	0.000414418 	-6.51548e-05 	0.0497024 	0.00140766 	0.0013574 	0.49965 	689.78 	1059.17 	1541.54 	1783 	800.899 	1036.95 	1921.49 	1982.65 	910.211 	1188.47 	1704.62 	2228.29 	1275.67 	1379.14 	1641.62 	2354.69 	793.506 	1063.92 	1523.02 	1935.74 	0.20324 	0.326289
13 	7.7694 	0 	1403.88 	5.72215e-05 	1318.56 	1429.29 	1533.73 	0.929845 	0.822938 	0.0458482 	-0.000500616 	-0.00443987 	0.0513616 	0.00210916 	0.00112461 	0.49965 	702.477 	1074.68 	1544.02 	1794.19 	828.214 	1046.44 	1921.38 	2032.86 	941.062 	1190.48 	1706.81 	2283.26 	1317.68 	1417.05 	1596.83 	2412.35 	812.196 	1085.22 	1492.72 	1975.22 	0.21766 	0.334627
14 	15.5062 	1 	1479.42 	-2.14126e-07 	1367.97 	1494.43 	1609.73 	0.959102 	0.799493 	0.0125471 	0.00095759 	0.000886896 	6.28563e-05 	0.000279885 	7.51343e-05 	0.5 	702.031 	1108.65 	1609.76 	1878.29 	826.571 	1083.11 	1961.68 	2105.98 	946.905 	1239.78 	1762.7 	2308.92 	1341.75 	1436.12 	1696.78 	2351.23 	825.629 	1110.69 	1583.71 	2017.29 	0.175098 	0.335652
15 	15.307 	0 	1468.77 	6.78744e-05 	1144.52 	1284.96 	1512.38 	0.915239 	0.752777 	-0.0266801 	-0.00419974 	-0.0039433 	-0.0415765 	-0.00245953 	-0.000375365 	0.5 	682.047 	968.285 	1406.12 	1663.85 	798.359 	957.268 	1776.2 	1860.03 	950.624 	1084.28 	1603.66 	1987.1 	1212.54 	1446.73 	1499.16 	2124.46 	787.802 	1047.82 	1314.97 	1837.15 	0.117179 	0.300534
16 	370.745 	0 	2227.82 	7.11327e-05 	1140.66 	1336.28 	1862.23 	0.375476 	0.504873 	-0.305248 	-0.0574759 	0.00438323 	0.244033 	-0.00919476 	0.00633532 	0.5 	452.038 	976.458 	1463.2 	1866.31 	734.184 	849.561 	1579.38 	1891.46 	717.888 	899.747 	1519.59 	2050.8 	883.187 	1088.14 	1500.82 	2321.46 	613.828 	929.568 	1442.94 	2026.23 	0.0914281 	0.315566
17 	87.3181 	0 	1630.71 	2.80624e-05 	1426.97 	1722.29 	1816.67 	0.946603 	0.786169 	0.0140642 	0.00075706 	9.60811e-05 	0.0187548 	0.000180825 	-0.00013205 	0.5 	744.181 	1185.64 	1815.65 	2061.07 	922.852 	1155.84 	2092.87 	2289.76 	966.145 	1324.67 	1912.75 	2500.54 	1391.57 	1469.8 	1876.88 	2528.47 	857.887 	1158.01 	1779.07 	2245.33 	0.250325 	0.362842
18 	15.5062 	0 	1479.42 	5.89391e-05 	1366.34 	1494.4 	1613.29 	0.957441 	0.799576 	0.00997947 	0.000779591 	0.000736238 	7.19792e-05 	0.000227032 	6.31394e-05 	0.5 	702.648 	1109.03 	1610.81 	1879.05 	825.468 	1085.41 	1963.87 	2107.63 	949.494 	1241.79 	1762.56 	2314.09 	1343.17 	1441.68 	1697.14 	2351.04 	826.937 	1114.72 	1580.52 	2021.31 	0.177844 	0.336729
19 	422.55 	0 	1903.22 	6.42453e-05 	933.06 	1156.01 	1755.53 	0.418241 	0.493729 	-0.378966 	-0.0126003 	0.00558861 	0.0425415 	0.000227522 	0.00653779 	0.5 	447.275 	867.401 	1244.9 	1733.13 	669.36 	857.524 	1397.59 	1711.28 	707.716 	897.936 	1308.07 	1697.36 	923.534 	1056.88 	1274.86 	1731.58 	634.832 	810.402 	1211.14 	1695.88 	0.101684 	0.305867
20 	223.105 	0 	1741.09 	-7.25988e-09 	1329.81 	1849.82 	1937.52 	0.838512 	0.735908 	-0.071055 	-0.00131809 	0.00179258 	0.0307584 	0.000745903 	0.00171602 	0.5 	696.447 	1165.02 	1959.76 	2067.4 	939.422 	1137.27 	2140.29 	2262.69 	906.174 	1268.56 	1959.66 	2527.6 	1316.5 	1356.65 	1929.82 	2642.96 	811.307 	1094.79 	1854.71 	2369.09 	0.25626 	0.364539
