#1:iter	2:slack	3:duration	4:youngsModulusE1	5:homTensor_p11_m22	6:homTensor_p13	7:homTensor_p23	8:eigenfrequency_1	9:volume
57 	11951.7 	0.19 	0.337899 	0.000916298 	-0.000202213 	0.0025212 	10547 	0.5
58 	11895 	0.195 	0.337768 	-0.00467485 	-0.000734784 	0.00102128 	11407.7 	0.5
59 	12361.6 	0.196 	0.319032 	-0.0207717 	0.0017024 	0.00388122 	10972.6 	0.5
60 	12018.2 	0.196 	0.338326 	-0.0056238 	-0.000279194 	0.00109349 	11587.8 	0.5
61 	11968.3 	0.196 	0.330806 	-0.00200798 	-0.000744454 	0.000132614 	11766.8 	0.5
62 	12032.7 	0.204 	0.326897 	-0.00441488 	0.00114175 	0.000243488 	11885.3 	0.5
63 	11988.1 	0.264 	0.327803 	-0.00121401 	-0.000330263 	-7.01981e-05 	11903.4 	0.5
64 	11997.9 	0.201 	0.327715 	-0.00110243 	0.000659562 	0.000350321 	11953.9 	0.5
65 	11987.4 	0.204 	0.329515 	0.000177495 	-0.000152493 	-9.65893e-05 	11973.4 	0.5
66 	11991.1 	0.206 	0.328802 	0.000134835 	5.29809e-05 	0.000130825 	11858.6 	0.5
67 	11989.6 	0.206 	0.329263 	0.000121959 	-5.76385e-05 	1.19223e-06 	11976 	0.5
68 	11988.8 	0.247 	0.329441 	0.000132043 	-0.00010119 	-4.86665e-05 	11977.3 	0.5
69 	12003.7 	0.213 	0.32814 	-0.000245673 	0.000160122 	0.000181145 	11951.7 	0.5
70 	11996.6 	0.216 	0.329085 	-7.63009e-06 	-1.38619e-05 	2.45621e-05 	11982.3 	0.5
71 	11999.9 	0.218 	0.329106 	-0.000275686 	0.000222223 	0.000151601 	11987.9 	0.5
72 	11995.6 	0.226 	0.329818 	-7.70922e-05 	6.56334e-06 	5.85684e-06 	11989.9 	0.5
73 	11996.2 	0.23 	0.329907 	-9.46212e-07 	2.35683e-05 	1.98249e-05 	11995 	0.5
74 	12000.1 	0.228 	0.329938 	1.51938e-05 	-7.81385e-06 	-9.80706e-06 	11998.9 	0.5
75 	12000.3 	0.231 	0.329954 	-8.63082e-06 	-8.63864e-06 	-7.31627e-06 	12000 	0.5
76 	12000.9 	0.233 	0.329985 	5.73571e-06 	-3.08932e-06 	-2.84051e-06 	12000.5 	0.5
77 	12000.7 	0.234 	0.329983 	-3.30047e-06 	-1.1096e-06 	-1.14581e-06 	12000.6 	0.5
78 	12000.9 	0.237 	0.32999 	2.88456e-06 	-2.26651e-07 	6.69177e-08 	12000.8 	0.5
79 	12001.1 	0.239 	0.329991 	1.37292e-07 	2.29808e-06 	1.55316e-06 	12001 	0.5
80 	12001.3 	0.266 	0.329992 	-1.0281e-06 	-8.27809e-08 	-4.6107e-07 	12001.2 	0.5
81 	12001.4 	0.258 	0.329996 	7.38432e-07 	-6.07606e-07 	-4.90668e-07 	12001.3 	0.5
82 	12001.3 	0.229 	0.329999 	1.59458e-07 	1.89155e-07 	1.87542e-07 	12001.3 	0.5
83 	12001.5 	0.276 	0.329996 	2.13039e-07 	-9.83229e-09 	4.80726e-07 	12001.4 	0.5
84 	12001.5 	0.284 	0.329997 	1.38495e-07 	-9.41467e-07 	-9.89442e-07 	12001.5 	0.5
85 	12001.5 	0.179 	0.329999 	1.56748e-06 	-3.78455e-07 	-3.32488e-07 	12001.5 	0.5
86 	12001.6 	0.461 	0.329996 	2.22582e-06 	-4.76268e-07 	-5.73994e-07 	12001.6 	0.5
87 	12001.6 	0.162 	0.329995 	7.49013e-07 	3.57252e-07 	2.33852e-07 	12001.6 	0.5
88 	12001.6 	0.266 	0.329997 	-1.62719e-06 	-3.10209e-07 	-2.3507e-07 	12001.6 	0.5
89 	12001.6 	0.648 	0.329999 	9.36899e-08 	1.63001e-07 	1.40418e-07 	12001.6 	0.5
90 	12001.6 	0.244 	0.329998 	-1.72126e-07 	4.27436e-07 	4.42067e-07 	12001.6 	0.5
91 	12001.6 	0.285 	0.329999 	-4.93294e-09 	1.96131e-07 	1.88748e-07 	12001.6 	0.5
92 	12001.6 	0.244 	0.33 	1.81911e-07 	4.9731e-08 	3.76276e-08 	12001.6 	0.5
93 	12001.6 	0.29 	0.33 	-8.09621e-10 	-3.98014e-09 	-5.85733e-09 	12001.6 	0.5
94 	12001.6 	0.296 	0.33 	6.33983e-09 	-1.47559e-09 	-4.9057e-10 	12001.6 	0.5
95 	12001.6 	0.248 	0.33 	8.86322e-09 	-6.28926e-10 	-5.08313e-10 	12001.6 	0.5
96 	12001.6 	0.249 	0.33 	3.4181e-07 	-1.70608e-08 	1.21441e-08 	12001.6 	0.5
97 	12001.6 	0.286 	0.33 	1.1173e-07 	-6.24402e-09 	9.30841e-09 	12001.6 	0.5
98 	12001.6 	0.176 	0.33 	1.07033e-07 	-7.33021e-10 	9.13112e-09 	12001.6 	0.5
99 	12001.6 	0.503 	0.33 	3.15073e-08 	-3.82806e-09 	-7.28924e-10 	12001.6 	0.5
100 	12001.6 	0.239 	0.33 	3.94261e-09 	-7.15774e-09 	-7.80106e-09 	12001.6 	0.5
101 	12001.6 	0.272 	0.33 	-3.3955e-09 	-1.87654e-09 	-1.88918e-09 	12001.6 	0.5
102 	12001.6 	0.272 	0.33 	2.69819e-09 	-1.92892e-09 	-1.87783e-09 	12001.6 	0.5
103 	12001.6 	0.276 	0.33 	8.50575e-09 	-6.94463e-10 	-5.45231e-10 	12001.6 	0.5
104 	12001.6 	0.232 	0.33 	5.10393e-09 	5.04171e-10 	3.52e-10 	12001.6 	0.5
105 	12001.6 	0.28 	0.33 	4.22789e-10 	-1.26493e-10 	1.55127e-11 	12001.6 	0.5
106 	12001.6 	0.296 	0.33 	3.18629e-10 	1.51184e-10 	2.79172e-10 	12001.6 	0.5
107 	12001.6 	0.363 	0.33 	9.78728e-10 	1.39858e-10 	2.95122e-10 	12001.6 	0.5
108 	12001.6 	0.269 	0.33 	2.96835e-10 	1.33204e-12 	-1.33294e-11 	12001.6 	0.5
109 	12001.6 	0.236 	0.33 	1.65387e-09 	9.32801e-14 	-8.57415e-11 	12001.6 	0.5
110 	12001.6 	0.285 	0.33 	3.75907e-10 	3.39042e-11 	1.46064e-11 	12001.6 	0.5
111 	12001.6 	0.325 	0.33 	-2.53675e-12 	-1.41403e-11 	-2.58528e-11 	12001.6 	0.5
112 	12001.6 	0.303 	0.33 	-5.15937e-12 	-1.07322e-11 	-1.83386e-11 	12001.6 	0.5
113 	12001.6 	0.522 	0.33 	3.75169e-11 	-3.36882e-12 	-1.62483e-11 	12001.6 	0.5
