#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
1	0.0622576	1	1
2	0.00233355	0.118512	1
3	7.35579e-05	0.00567665	1
4	4.57707e-06	0.000106302	1
5	1.01816e-07	1.2122e-06	1
6	1.16549e-09	9.88543e-09	1
7	8.83437e-12	6.01761e-11	1
1	0.000177006	0.00374478	1
2	8.61075e-05	0.00370675	1
3	2.48465e-06	4.08868e-05	1
4	2.87004e-08	3.03015e-07	1
5	1.94805e-10	1.54517e-09	1
