#1:iter	2:compliance	3:duration	4:volume
0 	209.303 	0 	0.256103
1 	1181.44 	0 	0.290884
2 	124.601 	0 	0.266505
3 	56.7892 	0 	0.265626
4 	40.7411 	0 	0.292281
5 	32.0405 	1 	0.262521
6 	34.5799 	0 	0.288382
7 	59.6742 	0 	0.298279
8 	27.4367 	0 	0.287398
9 	34.4 	0 	0.293827
10 	23.337 	0 	0.290873
11 	24.3777 	0 	0.278823
12 	22.7103 	0 	0.288681
13 	25.1609 	0 	0.299926
14 	22.4347 	0 	0.295485
15 	22.4358 	0 	0.292124
16 	22.1421 	0 	0.298188
17 	22.0621 	0 	0.300004
18 	22.021 	0 	0.299537
19 	22.1945 	0 	0.298911
20 	21.9913 	0 	0.299513
21 	21.9659 	0 	0.299886
22 	21.9546 	0 	0.299992
23 	21.9521 	0 	0.29999
24 	21.9479 	0 	0.299998
25 	21.946 	0 	0.299996
26 	21.9459 	0 	0.299998
27 	21.9457 	1 	0.3
28 	21.9457 	0 	0.3
29 	21.9457 	0 	0.3
30 	21.9457 	0 	0.3
31 	21.9457 	0 	0.3
32 	21.9457 	0 	0.3
33 	21.9457 	0 	0.3
34 	21.9457 	0 	0.3
35 	21.9457 	0 	0.3
36 	21.9457 	0 	0.3
