#1:iter	2:compliance	3:duration	4:volume	5:nObj
0 	171.747 	0.0521892 	0.5 	1
1 	126.537 	0.003213 	0.5 	2
2 	91.7822 	0.00215746 	0.5 	3
3 	66.2571 	0.00203412 	0.5 	4
4 	56.3649 	0.00196392 	0.5 	5
5 	52.7428 	0.00217387 	0.5 	6
6 	49.9822 	0.00196742 	0.5 	7
7 	48.3354 	0.00201083 	0.5 	8
8 	47.224 	0.00200913 	0.5 	9
9 	46.4082 	0.00211508 	0.5 	10
10 	45.7703 	0.00215304 	0.5 	11
