#1:iter	2:slack	3:duration	4:compliance	5:compliance	6:volume
0 	0.5 	1.042 	24.4722 	24.4722 	0.5
1 	11.1263 	0.124 	19.7468 	19.7468 	0.453102
2 	11.4847 	0.106 	13.7913 	13.7913 	0.487091
3 	12.3049 	0.108 	12.3238 	12.3238 	0.497265
4 	11.8713 	0.102 	11.7761 	11.7761 	0.498244
5 	11.4203 	0.101 	11.3367 	11.3367 	0.498062
6 	10.9237 	0.101 	10.8053 	10.8053 	0.497438
7 	10.3227 	0.1 	10.2349 	10.2349 	0.49789
8 	9.94165 	0.099 	9.91128 	9.91128 	0.49872
