#1:iter	2:compliance	3:duration	4:volume_(density)	5:min_abs_arc_overlap	6:infeas_count_arc_overlap
107 	0.225074 	94.305 	0.4 	0.00473178 	0
108 	0.225072 	96.69 	0.4 	0.00504192 	0
109 	0.225069 	94.27 	0.399999 	0.00510572 	0
110 	0.225066 	94.097 	0.399998 	0.00477206 	0
111 	0.225063 	93.731 	0.399982 	0.00409174 	0
112 	0.225052 	94.134 	0.399994 	0.00380327 	0
113 	0.225032 	94.974 	0.399989 	0.00388652 	0
114 	0.225048 	95.016 	0.399917 	0.00302158 	0
115 	0.225026 	94.556 	0.399968 	0.0033981 	0
116 	0.225 	93.068 	0.400002 	0.00354426 	0
117 	0.224988 	91.679 	0.399995 	0.00313416 	0
118 	0.224976 	92.551 	0.400001 	0.00292231 	0
119 	0.224967 	92.253 	0.399999 	0.00251872 	0
120 	0.224953 	92.127 	0.4 	0.00250048 	0
121 	0.224935 	92.296 	0.399998 	0.00257569 	0
122 	0.224919 	92.595 	0.399997 	0.00302654 	0
123 	0.22491 	92.221 	0.400003 	0.00342501 	0
124 	0.224905 	94.877 	0.400002 	0.00356573 	0
125 	0.224901 	93.993 	0.4 	0.00348821 	0
126 	0.224897 	92.406 	0.399999 	0.00318795 	0
127 	0.224891 	95.177 	0.4 	0.00313021 	0
128 	0.224882 	92.014 	0.4 	0.00319835 	0
129 	0.224877 	91.83 	0.4 	0.00363656 	0
130 	0.224876 	96.2 	0.399999 	0.00394161 	0
131 	0.224876 	95.942 	0.4 	0.00402813 	0
132 	0.224875 	93.656 	0.4 	0.00412565 	0
133 	0.224873 	93.332 	0.4 	0.00449993 	0
134 	0.22487 	94.403 	0.4 	0.00556231 	0
135 	0.224867 	91.45 	0.4 	0.00601832 	0
136 	0.224864 	91.464 	0.400001 	0.00611153 	0
137 	0.224864 	91.74 	0.4 	0.00617486 	0
138 	0.224864 	92.23 	0.4 	0.00620084 	0
139 	0.224863 	93.238 	0.4 	0.00634489 	0
140 	0.224862 	92.114 	0.4 	0.00677115 	0
141 	0.224861 	91.612 	0.4 	0.00687451 	0
142 	0.22486 	92.289 	0.4 	0.00689136 	0
143 	0.22486 	91.541 	0.4 	0.00692286 	0
144 	0.224859 	91.797 	0.4 	0.00694532 	0
145 	0.224859 	91.486 	0.4 	0.00697388 	0
146 	0.224859 	91.412 	0.4 	0.0069699 	0
147 	0.224859 	91.777 	0.4 	0.00692091 	0
148 	0.224859 	93.56 	0.4 	0.00683611 	0
149 	0.224858 	94.382 	0.4 	0.00664576 	0
150 	0.224858 	95.291 	0.4 	0.00652512 	0
151 	0.224858 	94.062 	0.4 	0.00642188 	0
152 	0.224858 	95.141 	0.4 	0.00648523 	0
153 	0.224858 	94.39 	0.4 	0.00648045 	0
154 	0.224858 	96.758 	0.4 	0.00644967 	0
155 	0.224858 	96.909 	0.4 	0.00639779 	0
156 	0.224858 	91.238 	0.4 	0.00634127 	0
157 	0.224858 	91.14 	0.4 	0.00631709 	0
158 	0.224858 	94.101 	0.4 	0.00631735 	0
159 	0.224858 	91.964 	0.4 	0.00631822 	0
160 	0.224858 	92.796 	0.4 	0.00633837 	0
161 	0.224858 	91.51 	0.4 	0.00635092 	0
162 	0.224858 	91.826 	0.4 	0.00636791 	0
163 	0.224858 	94.018 	0.4 	0.00635038 	0
164 	0.224858 	93.415 	0.4 	0.00636946 	0
165 	0.224858 	92.497 	0.4 	0.00633694 	0
166 	0.224858 	91.856 	0.4 	0.00633049 	0
167 	0.224858 	92.067 	0.4 	0.00631803 	0
168 	0.224858 	91.287 	0.4 	0.0063255 	0
169 	0.224858 	90.752 	0.4 	0.00634659 	0
170 	0.224858 	90.661 	0.4 	0.0063679 	0
171 	0.224858 	90.501 	0.4 	0.00638471 	0
172 	0.224858 	0.091 	0.4 	0.00638471 	0
