#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
2	0.000325611	0.00265786	1
3	0.000191315	0.00150982	1
4	0.000118302	0.000878805	1
1	0.000664707	1	1
2	0.000313227	0.00240921	1
3	0.000190636	0.00143418	1
4	0.000122041	0.000869776	1
1	0.000611931	1	1
2	0.00029792	0.00218012	1
3	0.000186416	0.00134688	1
4	0.000122677	0.000844263	1
1	0.000563145	1	1
2	0.000280534	0.00196653	1
3	0.000179434	0.00125171	1
4	0.000120753	0.000806191	1
1	0.000513528	1	1
2	0.000263642	0.00174728	1
3	0.00017192	0.00115694	1
4	0.00011818	0.000774888	1
1	0.000466202	1	1
2	0.000241631	0.00153216	1
3	0.000163717	0.00105396	1
4	0.000117592	0.000741492	1
1	0.000417217	1	1
2	0.000221068	0.00132604	1
3	0.000152221	0.000951639	1
1	0.000383646	1	1
2	0.000216435	0.00125321	1
3	0.000154057	0.000922569	1
1	0.000329671	1	1
2	0.000190986	0.00106229	1
3	0.000138284	0.000791686	1
1	0.000279984	1	1
2	0.000165357	0.000882637	1
1	0.000240893	1	1
2	0.00015777	0.000823268	1
1	0.000181126	1	1
2	0.000123779	0.000641561	1
1	0.000118485	1	1
2	8.39335e-05	0.00044349	1
1	6.12614e-05	1	1
2	4.66686e-05	0.00024092	1
1	2.42994e-05	1	1
2	2.14654e-05	7.30212e-05	1
1	4.74076e-05	1	1
2	3.53168e-05	7.46546e-05	1
1	8.76572e-05	1	1
2	6.4381e-05	0.000163019	1
1	0.000139618	1	1
2	0.000101932	0.00025614	1
1	0.000194834	1	1
2	0.000145863	0.000339505	1
1	0.000249787	1	1
2	0.000191397	0.000426552	1
1	0.000299768	1	1
2	0.000234102	0.000505402	1
1	0.00033694	1	1
2	0.000272055	0.000551788	1
1	0.000351757	1	1
2	0.000295575	0.000548723	1
1	0.000356492	1	1
2	0.000301894	0.000519338	1
1	0.000351695	1	1
2	0.000299	0.000462116	1
1	0.000338357	1	1
2	0.000287597	0.000397286	1
1	0.000318887	1	1
2	0.000269785	0.000375545	1
1	0.000297678	1	1
2	0.000249686	0.000453622	1
1	0.000280568	1	1
2	0.000233147	0.00062386	1
1	0.000271439	1	1
2	0.000224929	0.00084936	1
1	0.000276259	1	1
2	0.00023086	0.00110404	1
3	0.000206557	0.00101381	1
4	0.000186823	0.000925916	1
1	0.000266233	1	1
2	0.000220659	0.00120154	1
3	0.00019748	0.00110319	1
4	0.00017869	0.00100604	1
5	0.000162148	0.000915519	1
1	0.000261182	1	1
2	0.000218251	0.00124836	1
3	0.000196039	0.00114525	1
4	0.000177831	0.00104262	1
5	0.000161742	0.000947281	1
1	0.000275162	1	1
2	0.00023238	0.0013505	1
3	0.000209279	0.00123766	1
4	0.000190124	0.0011251	1
5	0.000173157	0.00102095	1
6	0.000157932	0.000926353	1
1	0.00028417	1	1
2	0.000241167	0.00141296	1
3	0.000217528	0.00129459	1
4	0.000197839	0.00117624	1
5	0.000180389	0.00106693	1
6	0.000164728	0.00096777	1
1	0.000305972	1	1
2	0.000261656	0.00154723	1
3	0.000236448	0.00141784	1
4	0.000215327	0.00128862	1
5	0.000196596	0.0011695	1
6	0.000179785	0.00106148	1
7	0.000164631	0.000963842	1
1	0.000320811	1	1
2	0.000276095	0.00164499	1
3	0.000250172	0.00150945	1
4	0.000228363	0.00137399	1
5	0.000209001	0.00124911	1
6	0.000191607	0.00113576	1
7	0.000175911	0.00103318	1
8	0.000161707	0.000940366	1
1	0.000334561	1	1
2	0.000290024	0.00173886	1
3	0.000263774	0.00159932	1
4	0.000241595	0.0014596	1
5	0.000221866	0.00133061	1
6	0.000204112	0.0012133	1
7	0.000188062	0.0011069	1
8	0.000173509	0.00101041	1
9	0.00016028	0.000922861	1
1	0.000349726	1	1
2	0.00030589	0.00184183	1
3	0.000279571	0.00169942	1
4	0.000257215	0.0015565	1
5	0.000237269	0.00142424	1
6	0.000219273	0.00130361	1
7	0.00020296	0.00119385	1
8	0.000188127	0.001094	1
9	0.000174603	0.00100312	1
10	0.000162243	0.000920339	1
1	0.000365874	1	1
2	0.000323332	0.00194867	1
3	0.000297305	0.00180511	1
4	0.000275058	0.00166056	1
5	0.000255131	0.00152636	1
6	0.000237089	0.00140349	1
7	0.000220675	0.00129128	1
8	0.000205695	0.00118881	1
9	0.000191986	0.00109517	1
10	0.000179407	0.00100955	1
11	0.000167838	0.000931211	1
1	0.000380855	1	1
2	0.000340292	0.0020426	1
3	0.000315087	0.0019008	1
4	0.000293406	0.00175735	1
5	0.000273897	0.00162362	1
6	0.000256155	0.00150066	1
7	0.000239946	0.00138787	1
8	0.000225087	0.00128442	1
9	0.000211427	0.00118948	1
10	0.000198834	0.00110229	1
11	0.000187197	0.00102215	1
12	0.000176417	0.00094845	1
1	0.000391363	1	1
2	0.000353528	0.00209857	1
3	0.000329832	0.0019628	1
4	0.000309338	0.00182446	1
5	0.000290805	0.00169484	1
6	0.000273868	0.00157509	1
7	0.000258317	0.00146475	1
8	0.000243991	0.00136306	1
9	0.000230753	0.00126932	1
10	0.000218486	0.00118282	1
11	0.000207089	0.00110296	1
12	0.000196475	0.00102917	1
13	0.000186566	0.000960927	1
1	0.000392982	1	1
2	0.00035863	0.00208478	1
3	0.000337229	0.00196045	1
4	0.000318655	0.00183235	1
5	0.000301773	0.0017116	1
6	0.000286263	0.00159948	1
7	0.000271944	0.00149567	1
8	0.00025868	0.00139957	1
9	0.000246354	0.00131056	1
10	0.000234868	0.00122805	1
11	0.000224135	0.00115152	1
12	0.000214081	0.00108047	1
13	0.000204642	0.00101447	1
14	0.00019576	0.000953105	1
1	0.000380198	1	1
2	0.000349997	0.00196576	1
3	0.000331686	0.00185905	1
4	0.000315792	0.00174708	1
5	0.000301273	0.00164074	1
6	0.000287857	0.00154149	1
7	0.000275395	0.00144915	1
8	0.00026378	0.00136328	1
9	0.000252919	0.00128338	1
10	0.000242735	0.00120899	1
11	0.00023316	0.00113968	1
12	0.000224135	0.00107505	1
13	0.00021561	0.00101473	1
14	0.000207539	0.000958413	1
1	0.000356321	1	1
2	0.000330336	0.00176353	1
3	0.000315369	0.00167745	1
4	0.000302422	0.00158464	1
5	0.000290534	0.00149566	1
6	0.000279473	0.00141215	1
7	0.000269126	0.00133409	1
8	0.000259411	0.00126119	1
9	0.000250263	0.00119306	1
10	0.000241625	0.00112936	1
11	0.000233447	0.00106976	1
12	0.000225688	0.00101396	1
13	0.000218311	0.000961666	1
1	0.000316424	1	1
2	0.000294984	0.00145871	1
3	0.000283709	0.00139749	1
