#1:iter	2:compliance	3:duration	4:volume_(density)
0 	2654.651929 	0.182000 	0.300000
1 	757.609134 	0.022000 	0.300034
2 	622.960172 	0.026000 	0.300034
3 	541.644395 	0.038000 	0.300034
4 	489.374627 	0.040000 	0.300034
5 	448.641371 	0.055000 	0.300034
6 	415.692757 	0.035000 	0.300034
7 	389.960646 	0.039000 	0.300034
8 	371.258549 	0.032000 	0.300034
9 	352.675501 	0.044000 	0.300034
10 	332.604399 	0.021000 	0.300034
