#1:iter	2:compliance	3:duration	4:volume	5:gc_search
0 	225.766 	0.0600622 	0.21173 	0
1 	202.433 	0.0193993 	0.219522 	5
2 	183.744 	0.00784933 	0.23978 	2
3 	174.633 	0.0117557 	0.247723 	3
4 	172.343 	0.00795467 	0.249231 	2
5 	171.422 	0.011656 	0.249555 	3
6 	170.892 	0.00788758 	0.249754 	2
7 	170.57 	0.00802171 	0.249903 	2
