#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters
0 	87.4256 	0.104 	0.5 	-1 	-1
1 	54.0367 	0.003 	0.5 	338.364 	18
2 	39.0466 	0.004 	0.5 	268.088 	17
3 	31.2839 	0.003 	0.5 	201.079 	16
4 	27.1358 	0.004 	0.5 	152.643 	17
5 	25.0562 	0.003 	0.5 	110.605 	18
6 	24.0554 	0.003 	0.499999 	93.7834 	18
7 	23.4639 	0.003 	0.5 	88.6897 	15
8 	23.0926 	0.003 	0.500001 	85.8569 	16
9 	22.8338 	0.003 	0.5 	84.4238 	17
10 	22.648 	0.003 	0.5 	82.9592 	14
