#1:iter	2:compliance	3:duration	4:volume
0 	94.7238 	5.783 	0.5
1 	57.7539 	0.103 	0.5
2 	41.298 	0.086 	0.5
3 	32.6705 	0.079 	0.5
4 	28.1585 	0.079 	0.5
5 	25.9133 	0.077 	0.5
6 	24.8334 	0.074 	0.5
7 	24.1988 	0.074 	0.5
8 	23.7889 	0.073 	0.5
9 	23.5082 	0.075 	0.5
10 	23.3046 	0.075 	0.5
