#1:iter	2:compliance	3:duration	4:nObj
0 	249.977 	0.0575441 	1
1 	36.5623 	0.00626958 	4
2 	16.4913 	0.00417925 	6
3 	13.2171 	0.00223871 	7
4 	10.9969 	0.00216225 	8
5 	10.5998 	0.00219287 	9
6 	10.4735 	0.00217025 	10
7 	10.428 	0.00221767 	11
8 	10.4085 	0.00227954 	12
9 	10.3917 	0.00246375 	13
10 	10.3837 	0.00225004 	14
11 	10.3783 	0.00214388 	15
12 	10.3745 	0.00219458 	16
13 	10.3729 	0.00235738 	17
14 	10.3719 	0.00328825 	18
15 	10.3717 	0.00419471 	19
