#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters
0 	5.08163 	0.193 	0.3 	-1 	-1
1 	2.10647 	0.049 	0.3 	12.0122 	28
2 	1.19949 	0.047 	0.300001 	5.93972 	17
3 	0.793759 	0.049 	0.300001 	3.71433 	17
4 	0.660376 	0.048 	0.3 	1.64828 	18
5 	0.653387 	0.047 	0.299999 	0.923544 	16
6 	0.649575 	0.048 	0.3 	0.97881 	16
7 	0.647436 	0.048 	0.3 	1.00288 	16
8 	0.646007 	0.048 	0.3 	1.00393 	17
9 	0.644921 	0.047 	0.299999 	1.00415 	16
10 	0.644016 	0.047 	0.300001 	1.00374 	14
