#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters
0 	15.3731 	0.219 	0.651438 	-1 	-1
1 	16.7792 	0.008 	0.60547 	99218.8 	19
2 	22.0945 	0.009 	0.500001 	203.204 	34
3 	21.2964 	0.008 	0.5 	79.0949 	19
4 	20.6649 	0.007 	0.499999 	69.6237 	17
5 	20.1618 	0.008 	0.499999 	61.1551 	17
6 	19.7837 	0.007 	0.5 	53.2425 	15
7 	19.5431 	0.008 	0.5 	45.9301 	16
8 	19.3838 	0.007 	0.5 	41.6142 	16
9 	19.2633 	0.008 	0.499999 	39.3492 	14
10 	19.1761 	0.008 	0.5 	37.2097 	16
