#1:iter	2:compliance	3:duration	4:volume	5:nObj
0 	8.53724 	0.114 	0.270384 	3
1 	8.17715 	0.007 	0.281933 	6
2 	6.84734 	0.004 	0.298689 	7
3 	6.74123 	0.003 	0.299842 	8
4 	6.71723 	0.003 	0.299972 	9
5 	6.7155 	0.003 	0.299994 	10
6 	6.71486 	0.003 	0.300011 	11
7 	6.71486 	0.001 	0.300011 	11
