% Model:              thermoviscous.mph
% Version:            COMSOL 5.4.0.225
% Date:               Aug 2 2019, 19:47
% Dimension:          1
% Nodes:              961
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         393.04772030883555
1.4999999999999996E-4     387.7128141804823
3.75E-4                   379.7104549879523
5.250000000000001E-4      374.375548859599
7.5E-4                    366.373189667069
8.999999999999999E-4      361.03828353871575
0.0011250000000000001     353.03592434618577
0.001275                  347.7010182178325
0.0015                    339.6986590253025
0.00165                   332.6643697650888
0.0018750000000000004     322.11293587476814
0.0020250000000000003     315.0786466145544
0.0022500000000000003     304.5272127242338
0.0024000000000000002     297.49292346402007
0.0026250000000000006     286.9414895736994
0.002775                  279.90720031348565
0.003                     269.35576642316505
0.00315                   261.27962032890423
0.0033750000000000004     249.16540118751274
0.003525000000000001      241.08925509325192
0.00375                   228.97503595186055
0.0039                    220.8988898575997
0.004125                  208.78467071620827
0.004275                  200.70852462194745
0.0045                    188.5943054805561
0.004649999999999999      180.10970181397238
0.004874999999999999      167.38279631409657
0.005025                  158.89819264751276
0.0052499999999999995     146.1712871476371
0.0053999999999999986     137.6866834810534
0.005624999999999999      124.95977798117764
0.005775000000000001      116.47517431459373
0.006                     103.74826881471814
0.006150000000000001      95.45681140315465
0.0063750000000000005     83.01962528580952
0.006525                  74.72816787424597
0.00675                   62.290981756900926
0.006899999999999999      53.9995243453375
0.007125000000000002      41.56233822799221
0.007274999999999999      33.2708808164289
0.0075                    20.833694699083726
0.007650000000000001      13.260429730370907
0.007875000000000004      1.9005322773018722
0.008025000000000001      -5.672732691410651
0.00825                   -17.032630144479604
0.0084                    -24.60589511319228
0.008624999999999999      -35.96579256626119
0.008775                  -43.53905753497404
0.009                     -54.89895498804285
0.009149999999999997      -61.329896750495905
0.009374999999999998      -70.97630939417577
0.009525                  -77.4072511566291
0.009749999999999998      -87.05366380030867
0.0099                    -93.48460556276196
0.010124999999999999      -103.13101820644157
0.010275                  -109.56195996889473
0.010499999999999999      -119.20837261257458
0.01065                   -124.19187481553097
0.010875                  -131.66712811996578
0.011025                  -136.6506303229223
0.01125                   -144.12588362735696
0.011399999999999999      -149.1093858303135
0.011624999999999998      -156.58463913474816
0.011774999999999999      -161.56814133770462
0.012                     -169.04339464213948
0.012150000000000001      -172.40098202928849
0.012375                  -177.43736311001214
0.012525                  -180.7949504971611
0.012750000000000001      -185.83133157788478
0.0129                    -189.1889189650338
0.013125                  -194.22530004575736
0.013275000000000002      -197.58288743290646
0.0135                    -202.61926851363006
0.013649999999999997      -204.29782638132892
0.013874999999999998      -206.8156631828773
0.014025                  -208.49422105057621
0.014249999999999999      -211.0120578521246
0.014399999999999998      -212.6906157198234
0.014624999999999999      -215.2084525213718
0.014775000000000002      -216.8870103890707
0.015                     -219.40484719061902
0.01515                   -219.46717146328854
0.015375                  -219.56065787229278
0.015525                  -219.62298214496226
0.01575                   -219.7164685539665
0.015899999999999997      -219.778792826636
0.016125                  -219.87227923564024
0.016275                  -219.93460350830972
0.0165                    -220.028089917314
0.016649999999999998      -218.63680338511253
0.016875                  -216.5498735868103
0.017025000000000002      -215.15858705460886
0.01725                   -213.0716572563066
0.0174                    -211.6803707241051
0.017625000000000002      -209.59344092580287
0.017775                  -208.20215439360143
0.018                     -206.11522459529917
0.01815                   -203.5117823347803
0.018375                  -199.60661894400187
0.018525                  -197.0031766834829
0.01875                   -193.0980132927045
0.0189                    -190.49457103218546
0.019124999999999996      -186.58940764140712
0.019274999999999997      -183.98596538088827
0.019499999999999997      -180.08080199010965
0.01965                   -176.56147855840354
0.019875                  -171.2824934108441
0.020025                  -167.76316997913793
0.02025                   -162.48418483157863
0.0204                    -158.9648613998723
0.020624999999999998      -153.6858762523131
0.020775000000000002      -150.1665528206068
0.020999999999999998      -144.88756767304744
0.02115                   -140.77831542017591
0.021374999999999995      -134.61443704086872
0.021525000000000002      -130.505184787997
0.02175                   -124.34130640868972
0.0219                    -120.2320541558183
0.022125                  -114.06817577651104
0.022275000000000003      -109.95892352363933
0.0225                    -103.79504514433225
0.022649999999999997      -99.42699409876249
0.022875000000000003      -92.87491753040705
0.023025000000000007      -88.50686648483689
0.023249999999999996      -81.95478991648218
0.0234                    -77.5867388709121
0.023625                  -71.03466230255715
0.023775000000000004      -66.66661125698697
0.024                     -60.114534688632126
0.024149999999999998      -55.80167917103155
0.024374999999999997      -49.33239589463034
0.024525000000000005      -45.01954037702948
0.02475                   -38.55025710062843
0.0249                    -34.23740158302789
0.025125000000000005      -27.76811830662658
0.025275                  -23.45526278902593
0.0255                    -16.98597951262487
0.025649999999999996      -13.006293542922403
0.025875                  -7.036764588368595
0.026024999999999996      -3.057078618666057
0.02625                   2.91245033588791
0.0264                    6.892136305590532
0.026625000000000003      12.861665260144306
0.026775000000000004      16.84135122984692
0.027                     22.81088018440056
0.027149999999999997      26.230010300897643
0.027374999999999997      31.35870547564331
0.027525                  34.7778355921405
0.027749999999999997      39.90653076688614
0.027899999999999994      43.325660883383215
0.028124999999999997      48.454356058129015
0.02827499999999999       51.8734861746259
0.028499999999999998      57.00218134937166
0.028649999999999995      59.69369445501951
0.028874999999999998      63.730964113491396
0.029025                  66.42247721913895
0.029249999999999998      70.45974687761068
0.0294                    73.15125998325856
0.029625                  77.1885296417302
0.029775000000000003      79.88004274737801
0.03                      83.91731240584974
0.03015                   85.77923772175029
0.030375                  88.57212569560117
0.030525                  90.43405101150174
0.03075                   93.22693898535258
0.030899999999999997      95.08886430125314
0.031125                  97.88175227510412
0.031275                  99.74367759100465
0.0315                    102.53656556485552
0.03165                   103.53201520357449
0.031875                  105.0251896616528
0.032025                  106.02063930037176
0.03225                   107.5138137584501
0.0324                    108.509263397169
0.032625                  110.00243785524734
0.032775                  110.99788749396623
0.033                     112.49106195204465
0.03314999999999999       112.6439435321569
0.033375                  112.87326590232531
0.033525                  113.02614748243758
0.03375                   113.25546985260601
0.0339                    113.40835143271828
0.034125                  113.63767380288668
0.034275                  113.79055538299895
0.0345                    114.01987775316738
0.03465                   113.40705059912173
0.03487500000000001       112.48780986805326
0.03502500000000001       111.87498271400763
0.035250000000000004      110.95574198293914
0.0354                    110.34291482889351
0.035625000000000004      109.42367409782497
0.035775                  108.81084694377934
0.036                     107.89160621271087
0.036149999999999995      106.63236390750583
0.036375                  104.74350044969823
0.036524999999999995      103.48425814449308
0.03675                   101.59539468668548
0.0369                    100.33615238148037
0.037125                  98.44728892367272
0.03727499999999998       97.18804661846778
0.0375                    95.29918316066015
0.037649999999999996      93.54303001003267
0.037875000000000006      90.90880028409131
0.038024999999999996      89.15264713346407
0.03824999999999999       86.5184174075229
0.038400000000000004      84.76226425689542
0.03862499999999999       82.12803453095447
0.038775                  80.37188138032697
0.03899999999999999       77.73765165438593
0.039150000000000004      75.65135302697487
0.039375                  72.52190508585855
0.039525000000000005      70.43560645844764
0.03975                   67.30615851733126
0.039900000000000005      65.21985988992019
0.040124999999999994      62.09041194880411
0.04027499999999999       60.004113321393156
0.0405                    56.874665380276696
0.040650000000000006      54.62949855947963
0.040875                  51.261748328284156
0.041025                  49.01658150748736
0.041249999999999995      45.64883127629191
0.041400000000000006      43.40366445549479
0.041624999999999995      40.03591422429962
0.041775                  37.79074740350249
0.041999999999999996      34.422997172307326
0.04215                   32.18302058065966
0.042374999999999996      28.823055693188778
0.04252499999999999       26.583079101541408
0.04274999999999999       23.223114214070346
0.042899999999999994      20.983137622422884
0.043125                  17.62317273495187
0.043275                  15.383196143304339
0.0435                    12.023231255833414
0.043649999999999994      9.935238565667028
0.043875000000000004      6.803249530417143
0.044024999999999995      4.715256840250758
0.04425                   1.583267805000951
0.044399999999999995      -0.5047248851654325
0.044625                  -3.636713920415216
0.044774999999999995      -5.72470661058173
0.045                     -8.856695645831424
0.04515                   -10.671049574981417
0.045375                  -13.392580468706473
0.04552499999999999       -15.206934397856411
0.04575                   -17.92846529158141
0.04589999999999999       -19.742819220731285
0.04612499999999999       -22.464350114456263
0.04627499999999999       -24.278704043606197
0.04649999999999999       -27.000234937331296
0.04665                   -28.449842430902684
0.046875                  -30.624253671259538
0.047025                  -32.073861164830795
0.04725                   -34.2482724051877
0.047400000000000005      -35.69787989875904
0.047625                  -37.872291139115866
0.04777500000000001       -39.321898632687194
0.048                     -41.496309873044005
0.04815                   -42.5234517477783
0.048374999999999994      -44.06416455987985
0.048525                  -45.09130643461436
0.048749999999999995      -46.6320192467159
0.0489                    -47.659161121450346
0.049125                  -49.199873933552
0.049275000000000006      -50.2270158082864
0.0495                    -51.76772862038797
0.04964999999999999       -52.34842634930135
0.049875                  -53.219472942671466
0.05002500000000001       -53.80017067158485
0.05025000000000001       -54.671217264954976
0.0504                    -55.25191499386831
0.05062500000000001       -56.12296158723844
0.050775                  -56.70365931615176
0.051                     -57.57470590952188
0.05114999999999999       -57.71681824900933
0.051375000000000004      -57.929986758240524
0.051525                  -58.07209909772794
0.05175                   -58.285267606959124
0.051899999999999995      -58.427379946446564
0.05212499999999999       -58.64054845567773
0.05227500000000001       -58.7826607951652
0.0525                    -58.995829304396366
0.052649999999999995      -58.73525124228208
0.052875                  -58.34438414911062
0.053024999999999996      -58.08380608699632
0.05325                   -57.69293899382489
0.0534                    -57.43236093171058
0.053625000000000006      -57.04149383853914
0.053775                  -56.78091577642482
0.054                     -56.39004868325338
0.05415                   -55.785458467086684
0.05437500000000001       -54.8785731428365
0.054525                  -54.273982926669824
0.05474999999999999       -53.367097602419676
0.0549                    -52.76250738625296
0.05512499999999999       -51.85562206200283
0.055275000000000005      -51.25103184583602
0.0555                    -50.34414652158598
0.055650000000000005      -49.47079604090994
0.055875                  -48.16077031989602
0.056025000000000005      -47.28741983921994
0.056249999999999994      -45.97739411820607
0.05640000000000001       -45.10404363753006
0.05662500000000001       -43.794017916516154
0.05677499999999999       -42.92066743584022
0.056999999999999995      -41.61064171482636
0.057149999999999986      -40.55369734248484
0.057374999999999995      -38.968280783972546
0.057525                  -37.91133641163104
0.057749999999999996      -36.32591985311884
0.05789999999999999       -35.268975480777414
0.058125                  -33.68355892226502
0.058274999999999993      -32.626614549923666
0.058499999999999996      -31.041197991411565
0.058649999999999994      -29.889116246228937
0.058875                  -28.160993628455184
0.059024999999999994      -27.00891188327284
0.05925                   -25.28078926549913
0.05939999999999999       -24.12870752031668
0.059624999999999984      -22.40058490254298
0.05977499999999999       -21.24850315736055
0.06                      -19.520380539586597
0.06014999999999999       -18.358750678276728
0.06037499999999999       -16.616305886311356
0.060524999999999995      -15.454676025001229
0.06074999999999999       -13.71223123303597
0.060899999999999996      -12.550601371725838
0.061125                  -10.808156579760588
0.061274999999999996      -9.646526718450392
0.0615                    -7.904081926485203
0.06164999999999999       -6.810292287594633
0.061875000000000006      -5.169607829258169
0.062025000000000004      -4.075818190367616
0.06225                   -2.4351337320314768
0.0624                    -1.3413440931407195
0.062625                  0.2993403651954509
0.062775                  1.393130004086116
0.063                     3.0338144624224173
0.06315                   3.994820527933475
0.06337499999999999       5.436329626199888
0.063525                  6.397335691711066
0.06375                   7.83884478997767
0.0639                    8.799850855488685
0.06412500000000002       10.241359953755335
0.064275                  11.202366019266417
0.0645                    12.643875117532932
0.06465                   13.422586981471751
0.06487499999999999       14.590654777379683
0.065025                  15.369366641318534
0.06525                   16.5374344372266
0.0654                    17.316146301165283
0.065625                  18.484214097073497
0.065775                  19.26292596101216
0.066                     20.430993756920287
0.06615                   20.994998000335784
0.06637499999999999       21.841004365458847
0.066525                  22.40500860887433
0.06675                   23.25101497399758
0.0669                    23.815019217412996
0.067125                  24.66102558253617
0.067275                  25.225029825951626
0.0675                    26.071036191074857
0.06765                   26.405384863589077
0.06787500000000002       26.906907872360467
0.06802500000000002       27.24125654487467
0.06825                   27.742779553646038
0.0684                    28.077128226160237
0.068625                  28.57865123493162
0.068775                  28.912999907445855
0.069                     29.414522916217255
0.06914999999999999       29.520915058599925
0.069375                  29.680503272173997
0.06952499999999999       29.786895414556685
0.06974999999999999       29.94648362813076
0.0699                    30.05287577051347
0.07012499999999999       30.212463984087528
0.07027499999999999       30.318856126470223
0.0705                    30.478444340044295
0.07064999999999999       30.373397020737006
0.07087500000000001       30.215826041776033
0.071025                  30.110778722468723
0.07125                   29.953207743507768
0.07139999999999999       29.84816042420047
0.071625                  29.690589445239517
0.07177499999999999       29.58554212593222
