#1:iter	2:freq	3:reflectedWave	4:objective_0	5:objective_1	6:duration	7:slack	8:volume	9:physical_volume	10:plain_greyness	11:physical_greyness
53 	(mult) 	55.599 	58.8409 	55.599 	0.012 	50000 	0.211879 	0.211918 	0.576322 	0.615155
54 	(mult) 	55.1939 	58.9819 	55.1939 	0.011 	50000 	0.211918 	0.211792 	0.575538 	0.614775
55 	(mult) 	55.7173 	58.2108 	55.7173 	0.012 	50000 	0.211792 	0.211657 	0.574646 	0.614372
56 	(mult) 	56.2939 	57.3526 	56.2939 	0.012 	50000 	0.211657 	0.211509 	0.573548 	0.613894
57 	(mult) 	55.887 	57.4209 	55.887 	0.012 	50000 	0.211509 	0.211418 	0.572581 	0.613631
58 	(mult) 	56.8542 	56.1213 	56.8542 	0.011 	50000 	0.211418 	0.211667 	0.572425 	0.613842
59 	(mult) 	52.2371 	60.6082 	52.2371 	0.011 	50000 	0.211667 	0.211497 	0.571064 	0.613399
60 	(mult) 	55.7692 	56.7509 	55.7692 	0.012 	50000 	0.211497 	0.211557 	0.570015 	0.613248
61 	(mult) 	55.4411 	56.835 	55.4411 	0.012 	50000 	0.211557 	0.212168 	0.570925 	0.613989
62 	(mult) 	48.2768 	64.2037 	48.2768 	0.012 	50000 	0.212168 	0.211372 	0.569783 	0.61283
63 	(mult) 	56.6731 	55.5498 	56.6731 	0.012 	50000 	0.211372 	0.211739 	0.569738 	0.613179
64 	(mult) 	50.9249 	61.1414 	50.9249 	0.012 	50000 	0.211739 	0.211721 	0.568847 	0.612954
65 	(mult) 	52.1175 	59.6417 	52.1175 	0.014 	50000 	0.211721 	0.211754 	0.56789 	0.612736
66 	(mult) 	51.7621 	59.7005 	51.7621 	0.013 	50000 	0.211754 	0.211795 	0.566728 	0.612478
67 	(mult) 	51.5375 	59.5683 	51.5375 	0.013 	50000 	0.211795 	0.211843 	0.565304 	0.61216
68 	(mult) 	51.322 	59.3516 	51.322 	0.012 	50000 	0.211843 	0.2119 	0.563552 	0.611768
69 	(mult) 	51.1463 	59.0027 	51.1463 	0.013 	50000 	0.2119 	0.211985 	0.561469 	0.611313
70 	(mult) 	50.9002 	58.6225 	50.9002 	0.013 	50000 	0.211985 	0.212312 	0.560048 	0.611186
71 	(mult) 	48.564 	60.4118 	48.564 	0.013 	50000 	0.212312 	0.211426 	0.558241 	0.609487
72 	(mult) 	55.3025 	54.045 	55.3025 	0.013 	50000 	0.211426 	0.212444 	0.559294 	0.611636
73 	(mult) 	55.5135 	54.276 	55.5135 	0.013 	50000 	0.212444 	0.211888 	0.559976 	0.610402
74 	(mult) 	50.5681 	58.6841 	50.5681 	0.013 	50000 	0.211888 	0.212246 	0.559241 	0.611229
75 	(mult) 	55.4276 	53.6037 	55.4276 	0.014 	50000 	0.212246 	0.212576 	0.559416 	0.611299
76 	(mult) 	48.8555 	59.7421 	48.8555 	0.014 	50000 	0.212576 	0.212413 	0.557846 	0.610689
77 	(mult) 	50.4582 	57.7049 	50.4582 	0.014 	50000 	0.212413 	0.212624 	0.556871 	0.610701
78 	(mult) 	49.8282 	57.9755 	49.8282 	0.014 	50000 	0.212624 	0.212883 	0.555918 	0.610736
79 	(mult) 	48.9937 	58.4482 	48.9937 	0.014 	50000 	0.212883 	0.213188 	0.554707 	0.610758
80 	(mult) 	48.0744 	58.9397 	48.0744 	0.014 	50000 	0.213188 	0.213551 	0.55318 	0.610767
81 	(mult) 	47.0745 	59.431 	47.0745 	0.015 	50000 	0.213551 	0.21258 	0.553015 	0.609447
82 	(mult) 	56.0329 	51.2288 	56.0329 	0.014 	50000 	0.21258 	0.213162 	0.552895 	0.610459
83 	(mult) 	53.5497 	52.9851 	53.5497 	0.015 	50000 	0.213162 	0.213606 	0.552797 	0.610623
84 	(mult) 	47.1261 	59.168 	47.1261 	0.014 	50000 	0.213606 	0.213918 	0.551824 	0.611015
85 	(mult) 	49.5982 	56.4322 	49.5982 	0.015 	50000 	0.213918 	0.21321 	0.551709 	0.61002
