origElemNum,globCoord-x,globCoord-y,fluidMechVelocity-real-x,fluidMechVelocity-real-y,fluidMechVelocity-imag-x,fluidMechVelocity-imag-y,locCoord-xi,locCoord-eta
11,0.00043,-1.58651e-20,-2.15097e-15,-4.47581e-05,2.62293e-16,6.22288e-06,-0.0227273,-0.0227273
11,0.00044,-8.49066e-16,-2.23836e-15,-4.57594e-05,2.59913e-16,6.10727e-06,0,0
11,0.00045,-1.3324e-20,-2.1114e-15,-4.67545e-05,2.63459e-16,5.97927e-06,0.0227273,0.0227273
11,0.00046,-1.19688e-20,-2.08857e-15,-4.77431e-05,2.63784e-16,5.83888e-06,0.0454545,0.0454545
11,0.00047,-9.17178e-21,-2.06381e-15,-4.87248e-05,2.6394e-16,5.68605e-06,0.0681818,0.0681818
11,0.00048,-1.68307e-20,-2.03722e-15,-4.96992e-05,2.63925e-16,5.52077e-06,0.0909091,0.0909091
11,0.00049,-3.99951e-21,-2.00886e-15,-5.06659e-05,2.63741e-16,5.34303e-06,0.113636,0.113636
11,0.0005,-1.12372e-20,-1.97884e-15,-5.16245e-05,2.6339e-16,5.15279e-06,0.136364,0.136364
11,0.00051,-7.45984e-21,-1.94723e-15,-5.25746e-05,2.62872e-16,4.95004e-06,0.159091,0.159091
11,0.00052,-2.80064e-20,-1.91414e-15,-5.35159e-05,2.62188e-16,4.73476e-06,0.181818,0.181818
11,0.00053,-1.70911e-20,-1.87963e-15,-5.4448e-05,2.61341e-16,4.50694e-06,0.204545,0.204545
11,0.00054,-2.43145e-20,-1.8438e-15,-5.53703e-05,2.60333e-16,4.26655e-06,0.227273,0.227273
11,0.00055,-1.32349e-20,-1.80676e-15,-5.62826e-05,2.59163e-16,4.01358e-06,0.25,0.25
11,0.00056,-2.06095e-20,-1.76857e-15,-5.71843e-05,2.57835e-16,3.74803e-06,0.272727,0.272727
11,0.00057,-2.76462e-20,-1.72935e-15,-5.8075e-05,2.56349e-16,3.46987e-06,0.295455,0.295455
11,0.00058,-1.42133e-20,-1.68917e-15,-5.89544e-05,2.5471e-16,3.17909e-06,0.318182,0.318182
11,0.00059,-1.30499e-20,-1.64814e-15,-5.98219e-05,2.52918e-16,2.87569e-06,0.340909,0.340909
11,0.0006,-3.18384e-20,-1.60637e-15,-6.06772e-05,2.50973e-16,2.55965e-06,0.363636,0.363636
11,0.00061,-2.61e-20,-1.56393e-15,-6.15197e-05,2.48883e-16,2.23096e-06,0.386364,0.386364
11,0.00062,-3.13315e-20,-1.52094e-15,-6.2349e-05,2.46646e-16,1.88963e-06,0.409091,0.409091
11,0.00063,-3.08682e-20,-1.47747e-15,-6.31646e-05,2.44268e-16,1.53563e-06,0.431818,0.431818
11,0.00064,-5.41398e-20,-1.43365e-15,-6.39661e-05,2.41749e-16,1.16896e-06,0.454545,0.454545
11,0.00065,-1.404e-20,-1.38956e-15,-6.47529e-05,2.39094e-16,7.89624e-07,0.477273,0.477273
11,0.00066,2.5411e-20,-1.34532e-15,-6.55246e-05,2.36304e-16,3.97614e-07,0.5,0.5
11,0.00067,-1.85569e-21,-1.30103e-15,-6.62807e-05,2.3338e-16,-7.07328e-09,0.522727,0.522727
11,0.00068,-5.21491e-20,-1.25679e-15,-6.70207e-05,2.30329e-16,-4.24438e-07,0.545455,0.545455
11,0.00069,-4.31696e-20,-1.21269e-15,-6.77441e-05,2.27157e-16,-8.54482e-07,0.568182,0.568182
11,0.0007,-6.47415e-21,-1.16886e-15,-6.84504e-05,2.2386e-16,-1.2972e-06,0.590909,0.590909
