origElemNum,globCoord-x,globCoord-y,fluidMechStrainRate-real-xx,fluidMechStrainRate-real-yy,fluidMechStrainRate-real-xy,fluidMechStrainRate-imag-xx,fluidMechStrainRate-imag-yy,fluidMechStrainRate-imag-xy,locCoord-xi,locCoord-eta
28,0.0046,-9.68092e-20,-1.91694e-13,-0.00944097,3.47508,-6.77644e-13,-0.00603468,-1.07855,1,0.313656
28,0.00461,-9.7064e-20,-1.90683e-13,-0.00993853,3.54384,-6.81967e-13,-0.0121345,-0.986347,1,0.304197
28,0.00462,-2.91957e-19,-1.89502e-13,-0.0104303,3.61245,-6.86331e-13,-0.018104,-0.894356,1,0.294738
28,0.00463,-1.95148e-19,-1.88585e-13,-0.0109164,3.68092,-6.90645e-13,-0.0239443,-0.80258,1,0.28528
28,0.00464,-1.95657e-19,-1.8756e-13,-0.0113967,3.74924,-6.94967e-13,-0.0296562,-0.711016,1,0.275821
28,0.00465,-1.96167e-19,-1.86546e-13,-0.0118715,3.81743,-6.99293e-13,-0.0352408,-0.619662,1,0.266362
28,0.00466,-1.96677e-19,-1.85521e-13,-0.0123406,3.88547,-7.03615e-13,-0.0406992,-0.528519,1,0.256903
28,0.00467,-1.97187e-19,-1.84507e-13,-0.0128042,3.95338,-7.07941e-13,-0.0460322,-0.437583,1,0.247444
28,0.00468,-3.95393e-19,-1.8333e-13,-0.0132623,4.02115,-7.12283e-13,-0.0512409,-0.346853,1,0.237985
28,0.00469,-1.98206e-19,-1.82488e-13,-0.0137149,4.08879,-7.16596e-13,-0.0563261,-0.256327,1,0.228526
28,0.0047,-1.98716e-19,-1.81476e-13,-0.0141621,4.15629,-7.20925e-13,-0.061289,-0.166004,1,0.219067
28,0.00471,-3.98451e-19,-1.80277e-13,-0.014604,4.22366,-7.25249e-13,-0.0661303,-0.0758832,1,0.209608
28,0.00472,-1.99735e-19,-1.79445e-13,-0.0150404,4.29089,-7.29574e-13,-0.070851,0.0140383,1,0.200149
28,0.00473,-2.00245e-19,-1.7843e-13,-0.0154716,4.35799,-7.33899e-13,-0.0754521,0.103762,1,0.19069
