# <ibz dim="3" edges="4"/>
#step	k_x	k_y	k_z	1.mode	2.mode	...
0	0	0	0	0.13709	0.13709	0.195774	0.583002	0.613763
1	0.628319	0	0	0.149187	0.166895	0.216954	0.579485	0.587006
2	1.25664	0	0	0.180633	0.209169	0.290196	0.571681	0.594422
3	1.88496	0	0	0.223249	0.251389	0.389478	0.562085	0.593978
4	2.51327	0	0	0.271535	0.298342	0.49287	0.552298	0.586142
5	3.14159	0	0	0.322409	0.34884	0.544357	0.566761	0.602802
6	3.14159	0.628319	0	0.328536	0.350716	0.549964	0.579913	0.61101
7	3.14159	1.25664	0	0.346132	0.362832	0.563073	0.60397	0.637241
8	3.14159	1.88496	0	0.373385	0.384114	0.58052	0.636795	0.659072
9	3.14159	2.51327	0	0.407763	0.413182	0.59967	0.652831	0.6842
10	3.14159	3.14159	0	0.445154	0.450291	0.615464	0.65876	0.726662
11	3.14159	3.14159	0.628319	0.446571	0.454181	0.618954	0.655354	0.73595
12	3.14159	3.14159	1.25664	0.457413	0.465502	0.630716	0.656865	0.730186
13	3.14159	3.14159	1.88496	0.47694	0.483677	0.649518	0.664885	0.720201
14	3.14159	3.14159	2.51327	0.503927	0.507859	0.673947	0.679653	0.709994
15	3.14159	3.14159	3.14159	0.536999	0.536999	0.700056	0.702702	0.825803
16	2.51327	2.51327	2.51327	0.43734	0.43734	0.65728	0.660671	0.734193
17	1.88496	1.88496	1.88496	0.340152	0.340152	0.623517	0.628242	0.629036
18	1.25664	1.25664	1.25664	0.248613	0.248613	0.455753	0.604954	0.613804
19	0.628319	0.628319	0.628319	0.171862	0.171862	0.285682	0.588613	0.611793
0	0	0	0	0.13709	0.13709	0.195774	0.583002	0.613763
