% Model:              thermoviscous.mph
% Version:            COMSOL 5.4.0.225
% Date:               Oct 28 2019, 07:52
% Dimension:          1
% Nodes:              961
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         398.24401852816976
1.4999999999999996E-4     393.1660157585287
3.75E-4                   385.54901160406695
5.250000000000001E-4      380.4710088344259
7.5E-4                    372.8540046799642
8.999999999999999E-4      367.7760019103231
0.0011250000000000001     360.1589977558614
0.001275                  355.08099498622033
0.0015                    347.4639908317587
0.00165                   340.5128957189893
0.0018750000000000004     330.08625304983514
0.0020250000000000003     323.1351579370657
0.0022500000000000003     312.70851526791165
0.0024000000000000002     305.7574201551422
0.0026250000000000006     295.3307774859881
0.002775                  288.37968237321877
0.003                     277.9530397040646
0.00315                   269.7914820666239
0.0033750000000000004     257.5491456104629
0.003525000000000001      249.3875879730223
0.00375                   237.14525151686135
0.0039                    228.98369387942077
0.004125                  216.7413574232597
0.004275                  208.57979978581912
0.0045                    196.3374633296582
0.004649999999999999      187.62320338848247
0.004874999999999999      174.5518134767186
0.005025                  165.8375535355427
0.0052499999999999995     152.766163623779
0.0053999999999999986     144.05190368260327
0.005624999999999999      130.98051377083945
0.005775000000000001      122.26625382966351
0.006                     109.19486391789988
0.006150000000000001      100.56731597385276
0.0063750000000000005     87.62599405778226
0.006525                  78.99844611373511
0.00675                   66.05712419766465
0.006899999999999999      57.42957625361761
0.007125000000000002      44.48825433754693
0.007274999999999999      35.860706393500024
0.0075                    22.91938447742944
0.007650000000000001      14.950176799791357
0.007875000000000004      2.996365283334432
0.008025000000000001      -4.972842394303344
0.00825                   -16.92665391076018
0.0084                    -24.89586158839812
0.008624999999999999      -36.84967310485492
0.008775                  -44.81888078249303
0.009                     -56.772692298949735
0.009149999999999997      -63.60956991152683
0.009374999999999998      -73.86488633039278
0.009525                  -80.70176394297016
0.009749999999999998      -90.9570803618358
0.0099                    -97.79395797441315
0.010124999999999999      -108.04927439327885
0.010275                  -114.88615200585608
0.010499999999999999      -125.14146842472199
0.01065                   -130.49293655077892
0.010875                  -138.52013873986456
0.011025                  -143.87160686592162
0.01125                   -151.89880905500706
0.011399999999999999      -157.25027718106412
0.011624999999999998      -165.2774793701496
0.011774999999999999      -170.62894749620662
0.012                     -178.6561496852923
0.012150000000000001      -182.30223489590574
0.012375                  -187.77136271182601
0.012525                  -191.41744792243944
0.012750000000000001      -196.88657573835977
0.0129                    -200.5326609489732
0.013125                  -206.00178876489338
0.013275000000000002      -209.64787397550694
0.0135                    -215.11700179142716
0.013649999999999997      -216.9731360888053
0.013874999999999998      -219.75733753487256
0.014025                  -221.61347183225072
0.014249999999999999      -224.39767327831794
0.014399999999999998      -226.25380757569602
0.014624999999999999      -229.03800902176323
0.014775000000000002      -230.8941433191414
0.015                     -233.67834476520858
0.01515                   -233.78828831639794
0.015375                  -233.95320364318187
0.015525                  -234.06314719437117
0.01575                   -234.22806252115512
0.015899999999999997      -234.33800607234446
0.016125                  -234.50292139912838
0.016275                  -234.6128649503177
0.0165                    -234.77778027710164
0.016649999999999998      -233.2985959488921
0.016875                  -231.07981945657775
0.017025000000000002      -229.6006351283682
0.01725                   -227.3818586360539
0.0174                    -225.90267430784434
0.017625000000000002      -223.68389781552997
0.017775                  -222.2047134873205
0.018                     -219.98593699500609
0.01815                   -217.16675692202384
0.018375                  -212.93798681255035
0.018525                  -210.118806739568
0.01875                   -205.89003663009453
0.0189                    -203.07085655711208
0.019124999999999996      -198.84208644763874
0.019274999999999997      -196.02290637465646
0.019499999999999997      -191.79413626518274
0.01965                   -187.95073801048497
0.019875                  -182.18564062843808
0.020025                  -178.34224237374025
0.02025                   -172.57714499169353
0.0204                    -168.73374673699558
0.020624999999999998      -162.96864935494887
0.020775000000000002      -159.1252511002509
0.020999999999999998      -153.3601537182041
0.02115                   -148.8474489574081
0.021374999999999995      -142.07839181621415
0.021525000000000002      -137.5656870554179
0.02175                   -130.7966299142239
0.0219                    -126.283925153428
0.022125                  -119.51486801223402
0.022275000000000003      -115.00216325143779
0.0225                    -108.233106110244
0.022649999999999997      -103.41758881346621
0.022875000000000003      -96.19431286829861
0.023025000000000007      -91.37879557152037
0.023249999999999996      -84.15551962635358
0.0234                    -79.34000232957543
0.023625                  -72.11672638440838
0.023775000000000004      -67.3012090876301
0.024                     -60.07793314246317
0.024149999999999998      -55.311943704189986
0.024374999999999997      -48.162959546779824
0.024525000000000005      -43.396970108506316
0.02475                   -36.24798595109634
0.0249                    -31.48199651282319
0.025125000000000005      -24.33301235541292
0.025275                  -19.567022917139646
0.0255                    -12.418038759729649
0.025649999999999996      -8.017403697315855
0.025875                  -1.4164511036950418
0.026024999999999996      2.984183958718833
0.02625                   9.585136552339824
0.0264                    13.985771614753789
0.026625000000000003      20.586724208374562
0.026775000000000004      24.987359270788527
0.027                     31.588311864409153
0.027149999999999997      35.362078932930004
0.027374999999999997      41.022729535711306
0.027525                  44.796496604232274
0.027749999999999997      50.45714720701357
0.027899999999999994      54.23091427553441
0.028124999999999997      59.89156487831586
0.02827499999999999       63.66533194683649
0.028499999999999998      69.32598254961792
