% Model:              thermoviscous.mph
% Version:            COMSOL 5.4.0.225
% Date:               Oct 28 2019, 07:52
% Dimension:          1
% Nodes:              961
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         0
1.4999999999999996E-4     -0.026137738785249044
3.75E-4                   -0.06472390014138522
5.250000000000001E-4      -0.0900343764976511
7.5E-4                    -0.1273796442103125
8.999999999999999E-4      -0.15186285813759515
0.0011250000000000001     -0.18796723220678185
0.001275                  -0.2116231837050813
0.0015                    -0.24648666413079315
0.00165                   -0.2691844689000854
0.0018750000000000004     -0.30238293883281525
0.0020250000000000003     -0.32394976064049646
0.0022500000000000003     -0.35545175613080976
0.0024000000000000002     -0.3758875949768796
0.0026250000000000006     -0.40569311602477615
0.002775                  -0.42499797190923505
0.003                     -0.4531070185147146
0.00315                   -0.4711875684145367
0.0033750000000000004     -0.4973044934745009
0.003525000000000001      -0.5140465103212978
0.00375                   -0.5381556358017244
0.0039                    -0.5535591195954963
0.004125                  -0.5756604454963857
0.004275                  -0.5897253962371326
0.0045                    -0.6098189225584844
0.004649999999999999      -0.6224946164128727
0.004874999999999999      -0.6404324461303124
0.005025                  -0.651673858565843
0.0052499999999999995     -0.6674602661549955
0.0053999999999999986     -0.6772673971716682
0.005624999999999999      -0.6909023826325339
0.005775000000000001      -0.6992752322303489
0.006                     -0.7107587955629278
0.006150000000000001      -0.7176880290928978
0.0063750000000000005     -0.727013011809742
0.006525                  -0.7325170885688976
0.00675                   -0.7397043361295204
0.006899999999999999      -0.7437832561178616
0.007125000000000002      -0.7488327685222625
0.007274999999999999      -0.7514865317397891
0.0075                    -0.7543983089879684
0.007650000000000001      -0.7556558608747725
0.007875000000000004      -0.7565515142171767
0.008025000000000001      -0.7564881667869108
0.00825                   -0.755402471153709
0.0084                    -0.7540182244063727
0.008624999999999999      -0.7509511797975658
0.008775                  -0.7482460337331592
0.009                     -0.7431976401487469
0.009149999999999997      -0.7392332259619688
0.009374999999999998      -0.7324333463163228
0.009525                  -0.7273312543089067
0.009749999999999998      -0.7188248579323039
0.0099                    -0.7125850881042495
0.010124999999999999      -0.7023721749966897
0.010275                  -0.6949947273479973
0.010499999999999999      -0.6830752975094802
0.01065                   -0.6746472775281186
