#1:iter	2:slack	3:duration	4:youngsModulusE1	5:homTensor_p11_m22	6:homTensor_p13	7:homTensor_p23	8:eigenfrequency_1
63 	12456.3 	0.757 	0.32041 	-0.00263384 	0.00104889 	0.000821056 	11923.2
64 	12222.2 	0.591 	0.306707 	-0.0112001 	-0.00218418 	-0.00126297 	9861.86
65 	12366.7 	0.42 	0.320497 	-0.00332099 	0.000502194 	0.00046758 	11877.3
66 	12431 	0.569 	0.321106 	-0.00251216 	0.000929858 	0.000735551 	11942.2
67 	12120.8 	1.235 	0.306264 	-0.00727671 	0.00212133 	0.00424274 	5273.16
68 	12427 	0.647 	0.321212 	-0.00248393 	0.000918744 	0.000727182 	11944.5
69 	12409.3 	0.816 	0.321482 	-0.00243434 	0.000890346 	0.000716176 	11952.7
70 	12080.5 	0.634 	0.318953 	-0.00598611 	0.000574169 	0.000430644 	8289.84
71 	12249.5 	0.62 	0.323297 	-0.00259373 	0.00061098 	0.000502416 	11979.7
72 	12059.7 	0.536 	0.325358 	0.00108027 	7.21176e-05 	-0.000177347 	11736.8
73 	12153.8 	0.848 	0.325573 	-0.000955329 	0.000311319 	0.000190319 	11964.8
74 	12209.9 	0.528 	0.3245 	-0.00197451 	0.00048376 	0.000385244 	11982.1
75 	12063.8 	0.531 	0.315176 	-0.00937251 	0.000588181 	0.000650803 	8070.84
76 	12201.1 	0.865 	0.324776 	-0.0018906 	0.000457372 	0.000365407 	11986.4
77 	12020.3 	0.619 	0.322033 	-0.000828268 	-0.00060982 	-0.000851324 	11638.7
78 	12102.5 	0.804 	0.325251 	-0.00114185 	4.86551e-05 	-7.40216e-05 	11967.3
79 	12171.5 	0.869 	0.325405 	-0.00160992 	0.000370034 	0.000283713 	11988.4
80 	12009.3 	0.664 	0.326626 	-0.000848169 	5.34968e-05 	4.73577e-05 	11736.2
81 	12142.3 	0.605 	0.326123 	-0.00132684 	0.000307905 	0.000236883 	11984.6
82 	11951.1 	0.767 	0.329911 	-2.16112e-05 	-1.91479e-05 	-2.02947e-05 	11948.6
83 	11955.3 	0.592 	0.32998 	-4.22585e-06 	-2.13548e-07 	9.84131e-07 	11954.8
84 	11958.7 	1.008 	0.329987 	-2.78764e-06 	-2.06582e-06 	-1.42924e-06 	11958.4
85 	11959.6 	0.891 	0.329995 	1.22394e-06 	-6.78876e-07 	-9.452e-07 	11959.5
86 	11961.2 	0.585 	0.329988 	1.17984e-06 	-5.095e-07 	-1.9551e-06 	11961
87 	11961.6 	0.588 	0.329998 	-1.10239e-06 	-3.13366e-07 	-2.10455e-07 	11961.6
88 	11962.4 	0.543 	0.329996 	1.07204e-06 	-2.18647e-07 	9.30112e-08 	11962.4
89 	11964.3 	0.704 	0.329977 	-3.62843e-06 	-8.27255e-07 	2.48805e-07 	11964
90 	11964 	0.737 	0.329999 	6.45309e-07 	-3.27173e-08 	3.32358e-08 	11964
91 	11964.6 	0.592 	0.329993 	3.09703e-06 	6.68179e-08 	7.64297e-07 	11964.5
92 	11964.4 	0.876 	0.33 	1.63194e-07 	2.80194e-08 	3.16961e-08 	11964.4
93 	11964.7 	0.656 	0.329996 	3.81629e-06 	-2.90678e-07 	1.28967e-07 	11964.5
94 	11964.8 	0.592 	0.329995 	3.77115e-08 	1.39238e-06 	1.19913e-06 	11964.6
95 	11964.8 	0.698 	0.329998 	5.58683e-06 	-5.36842e-07 	-6.11855e-07 	11964.6
96 	11964.9 	0.822 	0.329994 	-3.79443e-06 	-1.21622e-06 	-1.27534e-06 	11964.7
97 	11964.8 	0.58 	0.329999 	3.6373e-07 	-1.3519e-08 	-1.80537e-07 	11964.8
98 	11964.8 	0.895 	0.33 	5.09574e-07 	4.42413e-08 	4.69627e-08 	11964.8
99 	11964.9 	0.781 	0.329999 	2.09051e-06 	3.31133e-08 	1.13365e-07 	11964.9
100 	11965 	0.584 	0.33 	2.41878e-07 	-3.87383e-08 	-3.05664e-08 	11964.9
101 	11965 	0.584 	0.33 	-1.64047e-07 	1.62406e-08 	1.89869e-08 	11965
102 	11965 	0.644 	0.33 	-2.13754e-07 	-2.11474e-08 	-3.21873e-08 	11965
103 	11965 	0.835 	0.33 	-2.18987e-07 	-3.21172e-08 	-2.50319e-08 	11965
104 	11965 	0.688 	0.33 	-1.09269e-08 	1.60963e-08 	1.69018e-08 	11965
105 	11965 	0.732 	0.33 	-3.34925e-08 	-8.41872e-09 	3.73757e-09 	11965
