#1:iter	2:compliance_py	3:duration	4:volume	5:compliance
0 	29.2897 	0.455476 	0.336359 	29.2897
1 	28.6573 	0.00265246 	0.340065 	28.6573
2 	25.5303 	0.00211192 	0.362548 	25.5303
3 	25.5303 	0.000296625 	0.362548 	25.5303
