#1:iter	2:compliance	3:duration	4:volume_(density)	5:min_abs_arc_overlap	6:infeas_count_arc_overlap
0 	0.511786 	1.882 	0.375481 	0.0345977 	0
1 	7.43248 	1.692 	0.218045 	0.00377172 	0
2 	0.492956 	1.509 	0.365762 	0.0409472 	0
