#1:iter	2:compliance	3:duration	4:nObj
0 	459.095 	0.269314 	1
1 	172.316 	0.04644 	3
2 	147.456 	0.0690845 	5
3 	101.245 	0.03231 	6
4 	84.518 	0.0313226 	7
5 	75.3896 	0.0315513 	8
6 	71.4231 	0.0309128 	9
